,Scrapedate,ranking,Country_Other,Total_Case,New_Cases,Total_Death,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1m_pop,Population
0,2021-03-24,,"

",721,,15.0,,706.0,,0.0,0.0,,,,,
1,2021-03-24,,"
Africa
",4168936,10961.0,111074.0,329.0,3725951.0,8697.0,331911.0,2742.0,,,,,
2,2021-03-24,,"
Asia
",27367776,145539.0,419697.0,1129.0,25356774.0,91600.0,1591305.0,24193.0,,,,,
3,2021-03-24,,"
Oceania
",54948,381.0,1120.0,3.0,34482.0,7.0,19346.0,7.0,,,,,
4,2021-03-24,,"
South America
",20352376,131205.0,526837.0,2823.0,18169578.0,117650.0,1655961.0,19872.0,,,,,
249,2021-03-25,25.0,Belgium,854608,5518.0,22816.0,30.0,56170.0,242.0,775622.0,636.0,73504.0,1962.0,10772328.0,926521.0,11626638.0
250,2021-03-25,135.0,Belize,12415,4.0,317.0,,12061.0,9.0,37.0,1.0,30815.0,787.0,96854.0,240396.0,402893.0
251,2021-03-25,152.0,Benin,7100,,90.0,,6452.0,,558.0,35.0,575.0,7.0,548484.0,44397.0,12353940.0
252,2021-03-25,190.0,Bermuda,914,34.0,12.0,,718.0,,184.0,,14716.0,193.0,191467.0,3082758.0,62109.0
253,2021-03-25,192.0,Bhutan,870,,1.0,,867.0,,2.0,,1119.0,1.0,586497.0,754021.0,777826.0
254,2021-03-25,51.0,Bolivia,267833,774.0,12131.0,24.0,216057.0,1069.0,39645.0,71.0,22718.0,1029.0,872730.0,74027.0,11789409.0
255,2021-03-25,74.0,Bosnia and Herzegovina,162032,1869.0,6220.0,76.0,128241.0,442.0,27571.0,,49615.0,1905.0,769406.0,235596.0,3265783.0
256,2021-03-25,108.0,Botswana,38466,,506.0,,33903.0,,4057.0,1.0,16120.0,212.0,910730.0,381661.0,2386229.0
257,2021-03-25,2.0,Brazil,12407323,82558.0,307326.0,3600.0,10824095.0,51546.0,1275902.0,8318.0,58069.0,1438.0,28600000.0,133853.0,213666996.0
258,2021-03-25,203.0,British Virgin Islands,153,,1.0,,131.0,,21.0,,5036.0,33.0,13223.0,435268.0,30379.0
259,2021-03-25,200.0,Brunei ,206,,3.0,,188.0,,15.0,,468.0,7.0,112060.0,254366.0,440546.0
260,2021-03-25,46.0,Bulgaria,325233,4129.0,12601.0,89.0,247451.0,2979.0,65181.0,751.0,47068.0,1824.0,2042578.0,295602.0,6909888.0
261,2021-03-25,134.0,Burkina Faso,12650,31.0,145.0,,12314.0,20.0,191.0,,593.0,7.0,,,21319531.0
262,2021-03-25,174.0,Burundi,2657,,6.0,,773.0,,1878.0,,219.0,5.0,90019.0,7410.0,12147673.0
263,2021-03-25,130.0,Cabo Verde,16911,124.0,165.0,1.0,16011.0,75.0,735.0,23.0,30176.0,294.0,126207.0,225206.0,560406.0
264,2021-03-25,183.0,Cambodia,1968,96.0,8.0,3.0,1074.0,18.0,886.0,,117.0,5.0,668542.0,39587.0,16888078.0
265,2021-03-25,103.0,Cameroon,47669,,721.0,,35261.0,,11687.0,53.0,1764.0,27.0,905000.0,33486.0,27026325.0
