,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,China,"90,083",11,"4,636 ",,"85,283",+16,164,,63,3,"160,000,000","111,163","1,439,323,776 "
9,USA,"30,426,219","66,413","554,079 ","+1,262","22,610,368","+86,466","7,261,772","8,881","91,536","1,667","387,305,147","1,165,197","332,394,423 "
10,Brazil,"11,877,009","89,409","290,525 ","+2,730","10,383,460","+44,028","1,203,024","8,318","55,593","1,360","28,600,000","133,869","213,642,264 "
11,India,"11,554,895","40,950","159,594 ",+189,"11,105,149","+23,641","290,152","8,944","8,315",115,"231,370,546","166,488","1,389,716,105 "
12,Russia,"4,437,938","9,699","94,267 ",+443,"4,049,373","+12,337","294,298","2,300","30,401",646,"116,700,000","799,428","145,979,432 "
13,UK,"4,285,684","4,802","126,026 ",+101,"3,621,493","+28,357","538,165",879,"62,894","1,849","112,493,147","1,650,869","68,141,779 "
14,France,"4,216,677","35,070","91,982 ",+303,"279,646","+1,383","3,845,049","4,287","64,498","1,407","58,498,845","894,789","65,377,235 "
15,Italy,"3,332,499","25,816","104,241 ",+386,"2,671,638","+16,292","556,620","3,364","55,176","1,726","46,259,337","765,910","60,397,886 "
16,Spain,"3,212,332",,"72,910 ",,"2,945,446",,"193,976","1,997","68,687","1,559","41,114,319","879,116","46,767,793 "
17,Turkey,"2,971,633","21,030","29,864 ",+87,"2,788,757","+18,119","153,012","1,547","34,965",351,"35,975,339","423,297","84,988,405 "
18,Germany,"2,645,186","16,557","75,073 ",+195,"2,401,700","+18,100","168,413","2,848","31,499",894,"47,578,793","566,574","83,976,254 "
19,Colombia,"2,324,426","5,133","61,771 ",+135,"2,221,642","+4,697","41,013","1,982","45,336","1,205","12,186,850","237,695","51,270,955 "
20,Argentina,"2,234,913","8,160","54,476 ",+90,"2,016,729","+6,852","163,708","3,534","49,127","1,197","8,251,376","181,378","45,492,722 "
21,Mexico,"2,182,188","6,726","196,606 ",+698,"1,724,794","+4,364","260,788","4,798","16,799","1,513","5,839,528","44,953","129,902,096 "
22,Poland,"2,010,295","26,049","48,810 ",+422,"1,620,272","+16,440","341,213","2,245","53,159","1,291","11,032,529","291,736","37,816,804 "
23,Iran,"1,786,265","7,620","61,649 ",+68,"1,528,694","+7,317","195,922","3,879","21,074",727,"12,039,329","142,038","84,761,444 "
24,South Africa,"1,535,423","1,462","52,035 ",+311,"1,461,196","+1,302","22,192",546,"25,657",870,"9,584,923","160,167","59,843,266 "
25,Ukraine,"1,519,926","15,850","29,515 ",+262,"1,248,782","+4,592","241,629",177,"34,905",678,"7,573,737","173,931","43,544,473 "
26,Peru,"1,451,645","8,124","49,897 ",+191,"1,364,556","+8,764","37,192","2,241","43,593","1,498","8,592,274","258,026","33,300,005 "
27,Indonesia,"1,450,132","6,279","39,339 ",+197,"1,278,965","+6,007","131,828",,"5,262",143,"11,965,660","43,418","275,593,258 "
28,Czechia,"1,449,782","10,627","24,456 ",+200,"1,233,444",+354,"191,882","1,992","135,200","2,281","10,510,686","980,177","10,723,250 "
29,Netherlands,"1,186,987","7,375","16,244 ",+46,N/A,N/A,N/A,579,"69,163",947,"6,970,400","406,151","17,162,099 "
