,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,China,"90,115",9,"4,636 ",,"85,321",+12,158,,63,3,"160,000,000","111,163","1,439,323,776 "
9,USA,"30,636,534","58,705","556,883 ",+936,"23,039,585","+79,922","7,040,066","8,643","92,165","1,675","392,235,568","1,179,974","332,410,303 "
10,Brazil,"12,136,615","84,996","298,843 ","+3,158","10,601,658","+93,663","1,236,114","8,318","56,805","1,399","28,600,000","133,861","213,654,630 "
11,India,"11,733,594","47,264","160,477 ",+277,"11,203,016","+23,957","370,101","8,944","8,442",115,"235,413,233","169,383","1,389,827,226 "
12,Russia,"4,474,610","8,457","95,818 ",+427,"4,088,045","+10,860","290,747","2,300","30,652",656,"117,900,000","807,645","145,979,943 "
13,France,"4,313,073","14,678","92,908 ",+287,"283,507","+1,622","3,936,658","4,634","65,971","1,421","60,773,434","929,564","65,378,416 "
14,UK,"4,307,303","5,378","126,284 ",+112,"3,712,658","+18,503","468,361",748,"63,208","1,853","117,279,577","1,721,037","68,144,696 "
15,Italy,"3,419,595","18,744","105,879 ",+551,"2,753,083","+20,601","560,633","3,546","56,618","1,753","47,395,288","784,727","60,397,160 "
16,Spain,"3,234,319","5,516","73,744 ",+201,"2,992,848","+5,374","167,727","1,880","69,157","1,577","41,884,958","895,591","46,767,941 "
17,Turkey,"3,061,520","26,182","30,316 ",+138,"2,863,882","+19,201","167,322","1,710","36,020",357,"36,768,437","432,591","84,995,840 "
18,Germany,"2,689,205","10,943","75,708 ",+290,"2,433,800","+10,400","179,697","3,171","32,023",902,"47,578,793","566,560","83,978,444 "
19,Colombia,"2,347,224","4,946","62,274 ",+126,"2,239,936","+4,593","45,014","1,982","45,777","1,215","12,343,343","240,726","51,275,398 "
20,Argentina,"2,261,577","9,405","54,823 ",+152,"2,043,957","+6,271","162,797","3,591","49,709","1,205","8,433,539","185,368","45,496,119 "
21,Mexico,"2,197,160","1,388","198,239 ",+203,"1,740,254","+4,095","258,667","4,798","16,913","1,526","5,902,321","45,433","129,913,193 "
22,Poland,"2,090,693","17,565","49,765 ",+400,"1,693,875","+17,867","347,053","2,512","55,285","1,316","11,304,601","298,933","37,816,466 "
23,Iran,"1,815,712","7,290","61,951 ",+74,"1,555,766","+6,117","197,995","3,865","21,419",731,"12,221,274","144,169","84,770,256 "
24,Ukraine,"1,565,732","11,476","30,431 ",+333,"1,268,886","+8,044","266,415",177,"35,959",699,"7,726,035","177,437","43,542,330 "
25,South Africa,"1,538,961",510,"52,251 ",+55,"1,465,204","+1,251","21,506",546,"25,714",873,"9,665,664","161,500","59,849,395 "
26,Peru,"1,481,259","8,469","50,474 ",+135,"1,397,341","+8,787","33,444","2,251","44,477","1,516","8,810,146","264,539","33,303,771 "
27,Czechia,"1,475,627","8,243","25,170 ",+186,"1,289,535",+498,"160,922","1,953","137,608","2,347","11,051,757","1,030,619","10,723,413 "
28,Indonesia,"1,471,225","5,297","39,865 ",+154,"1,304,921","+6,954","126,439",,"5,338",145,"12,197,872","44,257","275,616,951 "
29,Netherlands,"1,213,366","5,560","16,339 ",+49,N/A,N/A,N/A,623,"70,699",952,"9,747,836","567,976","17,162,409 "
30,Chile,"942,958","4,864","22,384 ",+25,"882,772","+5,583","37,802","2,311","49,023","1,164","10,699,507","556,250","19,235,067 "
31,Canada,"942,320","3,601","22,735 ",+19,"883,275","+3,116","36,310",586,"24,810",599,"26,778,301","705,029","37,981,846 "
32,Romania,"907,007","6,149","22,442 ",+174,"814,182","+5,428","70,383","1,367","47,378","1,172","7,040,517","367,763","19,144,167 "
33,Belgium,"839,238","2,232","22,728 ",+21,"55,615",+75,"760,895",569,"72,185","1,955","10,548,631","907,314","11,626,225 "
34,Israel,"829,689",925,"6,122 ",+13,"808,869","+1,216","14,698",505,"90,207",666,"13,227,965","1,438,199","9,197,590 "
35,Portugal,"818,212",434,"16,794 ",+10,"769,086","+1,212","32,332",159,"80,413","1,651","8,861,015","870,855","10,175,072 "
36,Iraq,"803,041","4,494","14,066 ",+30,"723,286","+4,125","65,689",487,"19,648",344,"7,711,323","188,669","40,872,128 "
37,Sweden,"765,984","7,662","13,321 ",,N/A,N/A,N/A,272,"75,504","1,313","6,627,544","653,286","10,144,928 "
38,Philippines,"677,645","5,859","12,992 ",+20,"578,446",+605,"86,207",785,"6,125",117,"9,771,681","88,323","110,635,369 "
39,Pakistan,"633,741","3,270","13,935 ",+72,"585,271","+1,733","34,535","2,485","2,829",62,"9,857,233","44,009","223,983,921 "
40,Hungary,"586,123","5,481","18,703 ",+252,"378,176","+4,510","189,244","1,389","60,785","1,940","4,334,584","449,529","9,642,502 "
41,Switzerland,"586,096","1,844","10,247 ",+7,"538,889","+1,218","36,960",159,"67,364","1,178","5,720,475","657,488","8,700,495 "
42,Bangladesh,"577,241","3,554","8,738 ",+18,"525,694","+1,835","42,809",,"3,480",53,"4,460,184","26,888","165,877,208 "
43,Serbia,"561,372","5,475","5,002 ",+36,"473,912","+4,039","82,458",238,"64,439",574,"3,295,548","378,288","8,711,748 "
44,Jordan,"553,727","9,003","6,077 ",+92,"447,888","+6,649","99,762",729,"53,883",591,"5,569,435","541,960","10,276,464 "
45,Austria,"519,980","3,415","9,121 ",+32,"477,940","+2,713","32,919",437,"57,497","1,009","6,431,566","711,168","9,043,669 "
46,Morocco,"492,403",569,"8,775 ",+6,"480,100",+543,"3,528",268,"13,227",236,"5,882,109","158,006","37,227,017 "
47,Japan,"457,754",973,"8,861 ",+26,"435,361","+1,087","13,532",320,"3,627",70,"9,374,845","74,289","126,194,675 "
48,Lebanon,"444,865","3,851","5,850 ",+42,"349,223","+1,660","89,792",990,"65,391",860,"3,427,774","503,848","6,803,188 "
49,UAE,"444,398","2,172","1,451 ",+6,"427,188","+2,348","15,759",,"44,543",145,"35,785,791","3,586,890","9,976,830 "
50,Saudi Arabia,"385,834",410,"6,618 ",+5,"375,165",+366,"4,051",617,"10,960",188,"14,717,992","418,061","35,205,379 "
51,Panama,"351,667",454,"6,060 ",+8,"340,493",+532,"5,114",111,"80,587","1,389","2,085,617","477,935","4,363,810 "
52,Slovakia,"350,551","1,281","9,190 ",+86,"255,300",,"86,061",696,"64,185","1,683","2,279,486","417,369","5,461,564 "
53,Malaysia,"335,540","1,384","1,244 ",+6,"319,842","+1,058","14,454",148,"10,272",38,"7,264,738","222,396","32,665,827 "
54,Ecuador,"313,570",719,"16,504 ",+26,"271,847",,"25,219",519,"17,580",925,"1,104,992","61,951","17,836,546 "
55,Bulgaria,"312,741","4,851","12,307 ",+119,"239,602","+2,571","60,832",729,"45,257","1,781","1,989,047","287,837","6,910,314 "
56,Belarus,"312,474","1,046","2,175 ",+9,"303,030",+862,"7,269",,"33,076",230,"5,234,666","554,105","9,447,063 "
57,Georgia,"278,178",528,"3,714 ",+4,"270,668",+299,"3,796",,"69,831",932,"3,173,036","796,525","3,983,597 "
58,Nepal,"276,244",188,"3,019 ",,"272,097",+77,"1,128",,"9,360",102,"2,245,030","76,065","29,514,801 "
59,Bolivia,"265,207",573,"12,074 ",+14,"212,691",+585,"40,442",71,"22,498","1,024","849,750","72,085","11,788,104 "
60,Croatia,"258,745",956,"5,808 ",+22,"246,543",+820,"6,394",92,"63,312","1,421","1,485,714","363,538","4,086,821 "
61,Dominican Republic,"250,177",401,"3,283 ",+8,"206,736",+443,"40,158",157,"22,896",300,"1,284,835","117,587","10,926,661 "
62,Azerbaijan,"248,307","1,333","3,384 ",+18,"233,356",+269,"11,567",,"24,331",332,"2,790,980","273,482","10,205,365 "
63,Tunisia,"246,507",584,"8,610 ",+41,"213,505",+399,"24,392",265,"20,701",723,"1,070,249","89,876","11,908,127 "
64,Greece,"242,347","3,517","7,582 ",+51,"207,130","+2,570","27,635",699,"23,334",730,"6,198,512","596,816","10,385,975 "
65,Kazakhstan,"234,007","1,101","2,934 ",,"212,091",+337,"18,982",221,"12,356",155,"8,298,090","438,145","18,939,158 "
66,Ireland,"231,484",365,"4,610 ",+22,"23,364",,"203,510",76,"46,504",926,"3,859,183","775,295","4,977,695 "
67,Palestine,"228,044","2,068","2,478 ",+20,"201,675","+1,710","23,891",205,"43,967",478,"1,374,587","265,020","5,186,734 "
68,Denmark,"227,031",754,"2,403 ",+1,"215,035",+746,"9,593",46,"39,096",414,"22,955,322","3,953,037","5,807,009 "
69,Kuwait,"221,743","1,288","1,246 ",+13,"206,180","+1,202","14,317",238,"51,375",289,"1,985,656","460,048","4,316,194 "
70,Moldova,"217,715","1,621","4,623 ",+33,"191,630","+1,755","21,462",344,"54,062","1,148","810,434","201,243","4,027,141 "
71,Costa Rica,"213,438","1,535","2,908 ",+12,"190,950",+714,"19,580",147,"41,624",567,"775,821","151,297","5,127,806 "
72,Lithuania,"210,243",896,"3,501 ",+12,"195,115",+770,"11,627",144,"78,026","1,299","2,278,220","845,496","2,694,536 "
73,Slovenia,"207,300",983,"3,985 ",+9,"192,439",+733,"10,876",97,"99,704","1,917","1,014,046","487,722","2,079,146 "
74,Paraguay,"198,135","2,023","3,818 ",+49,"162,879","+1,560","31,438",424,"27,534",531,"862,540","119,865","7,195,900 "
75,Egypt,"196,709",648,"11,680 ",+43,"150,924",+500,"34,105",90,"1,896",113,"2,506,118","24,161","103,725,993 "
76,Ethiopia,"190,594","1,692","2,693 ",+19,"149,590","+1,019","38,311",693,"1,629",23,"2,293,486","19,601","117,010,849 "
77,Guatemala,"189,067",948,"6,730 ",+20,"172,621",+748,"9,716",5,"10,414",371,"1,017,017","56,020","18,154,549 "
78,Armenia,"185,020",801,"3,384 ",+24,"169,172",+451,"12,464",,"62,354","1,140","812,076","273,678","2,967,266 "
79,Honduras,"183,280",871,"4,469 ",+26,"69,177",+72,"109,634",461,"18,294",446,"494,504","49,360","10,018,342 "
80,Qatar,"174,762",534,275 ,+1,"161,111",+349,"13,376",207,"62,242",98,"1,679,713","598,230","2,807,805 "
81,Nigeria,"162,076",208,"2,031 ",+1,"148,530",+405,"11,515",10,772,10,"1,727,467","8,233","209,812,698 "
82,Bosnia and Herzegovina,"156,346","1,719","6,005 ",+67,"126,237",+894,"24,104",,"47,872","1,839","753,263","230,641","3,265,950 "
83,Libya,"153,411",901,"2,564 ",+51,"140,420","+1,059","10,427",,"22,109",370,"828,207","119,358","6,938,825 "
