,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
3,USA,"30,852,900","76,844","561,139 ","+1,286","23,274,400","+78,191","7,017,361","8,610","92,811","1,688","397,121,940","1,194,617","332,426,183 "
6,Brazil,"12,407,323","82,558","307,326 ","+3,600","10,824,095","+51,546","1,275,902","8,318","58,069","1,438","28,600,000","133,853","213,666,996 "
7,India,"11,908,373","62,291","161,275 ",+292,"11,292,849","+30,346","454,249","8,944","8,568",116,"238,604,638","171,666","1,389,938,347 "
8,Russia,"4,501,859","9,167","97,017 ",+405,"4,120,161","+10,880","284,681","2,300","30,839",665,"118,800,000","813,808","145,980,454 "
9,France,"4,465,956","41,869","94,275 ",+363,"288,062","+1,455","4,083,619","4,766","68,308","1,442","61,991,132","948,172","65,379,596 "
10,UK,"4,325,315","6,187","126,515 ",+70,"3,768,434","+20,392","430,366",630,"63,470","1,856","121,517,399","1,783,150","68,147,613 "
12,Italy,"3,488,619","23,987","107,256 ",+457,"2,814,652","+19,764","566,711","3,628","57,762","1,776","48,463,509","802,423","60,396,434 "
13,Spain,"3,255,324","7,586","75,010 ",+590,"3,016,247","+8,624","164,067","1,830","69,606","1,604","41,884,958","895,588","46,768,089 "
14,Turkey,"3,149,094","29,081","30,772 ",+153,"2,921,037","+20,208","197,285","1,810","37,047",362,"37,433,913","440,382","85,003,274 "
15,Germany,"2,754,002","21,872","76,303 ",+187,"2,467,600","+11,400","210,099","3,209","32,793",909,"48,979,281","583,221","83,980,634 "
16,Colombia,"2,367,337","7,395","62,645 ",+126,"2,255,948","+5,885","48,744","1,982","46,165","1,222","12,485,669","243,481","51,279,841 "
17,Argentina,"2,291,051","12,936","55,235 ",+143,"2,064,479","+8,007","171,337","3,508","50,353","1,214","8,605,895","189,143","45,499,515 "
18,Mexico,"2,214,542","5,787","200,211 ",+584,"1,752,125","+3,808","262,206","4,798","17,045","1,541","5,983,144","46,051","129,924,289 "
19,Poland,"2,189,966","35,143","51,305 ",+443,"1,747,223","+24,367","391,438","2,730","57,911","1,357","11,610,747","307,032","37,816,127 "
20,Iran,"1,838,803","7,980","62,223 ",+81,"1,577,408","+7,711","199,172","3,908","21,689",734,"12,481,917","147,229","84,779,068 "
21,Ukraine,"1,614,707","18,132","31,461 ",+326,"1,290,158","+7,138","293,088",177,"37,085",723,"7,889,544","181,201","43,540,188 "
22,South Africa,"1,543,079","1,516","52,602 ",+67,"1,469,565","+2,311","20,912",546,"25,780",879,"9,752,061","162,927","59,855,524 "
23,Czechia,"1,503,307","7,853","25,639 ",+87,"1,299,552",+282,"178,116","1,860","140,187","2,391","11,690,302","1,090,150","10,723,575 "
