,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
3,USA,"30,708,302","67,138","558,626 ","+1,462","23,126,210","+89,001","7,023,466","8,623","92,376","1,680","393,864,920","1,184,819","332,426,183 "
6,Brazil,"12,227,179","90,564","301,087 ","+2,244","10,689,646","+87,988","1,236,446","8,318","57,225","1,409","28,600,000","133,853","213,666,996 "
7,India,"11,787,013","53,419","160,726 ",+249,"11,229,591","+26,575","396,696","8,944","8,480",116,"236,438,861","170,107","1,389,938,347 "
8,Russia,"4,483,471","8,861","96,219 ",+401,"4,098,400","+10,355","288,852","2,300","30,713",659,"118,100,000","809,012","145,980,454 "
9,France,"4,378,446","33,389","93,627 ",+305,"283,507",,"4,001,312","4,634","66,970","1,432","60,773,434","929,547","65,379,596 "
10,UK,"4,312,908","5,605","126,382 ",+98,"3,729,155","+16,497","457,371",711,"63,288","1,855","118,204,895","1,734,542","68,147,613 "
12,Italy,"3,440,834","21,239","106,339 ",+460,"2,773,215","+20,132","561,280","3,588","56,971","1,761","47,759,055","790,760","60,396,434 "
13,Spain,"3,241,345","7,026","74,064 ",+320,"3,000,670","+7,822","166,611","1,855","69,307","1,584","41,884,958","895,588","46,768,089 "
14,Turkey,"3,091,282","29,762","30,462 ",+146,"2,881,643","+17,761","179,177","1,720","36,367",358,"36,990,175","435,162","85,003,274 "
15,Germany,"2,709,872","20,667","75,911 ",+203,"2,445,300","+11,500","188,661","3,209","32,268",904,"47,578,793","566,545","83,980,634 "
16,Colombia,"2,353,210","5,986","62,394 ",+120,"2,244,522","+4,586","46,294","1,982","45,890","1,217","12,386,993","241,557","51,279,841 "
17,Argentina,"2,269,877","8,300","54,946 ",+123,"2,049,035","+5,078","165,896","3,574","49,888","1,208","8,477,597","186,323","45,499,515 "
18,Mexico,"2,203,041","5,881","199,048 ",+809,"1,744,262","+4,008","259,731","4,798","16,956","1,532","5,931,263","45,652","129,924,289 "
19,Poland,"2,120,670","29,977","50,340 ",+575,"1,707,846","+13,971","362,484","2,537","56,078","1,331","11,400,455","301,471","37,816,127 "
20,Iran,"1,823,317","7,605","62,045 ",+94,"1,562,709","+6,943","198,563","3,874","21,507",732,"12,349,804","145,670","84,779,068 "
21,Ukraine,"1,579,906","14,174","30,773 ",+342,"1,276,272","+7,386","272,861",177,"36,286",707,"7,778,231","178,645","43,540,188 "
22,South Africa,"1,540,009","1,048","52,372 ",+121,"1,466,595","+1,391","21,042",546,"25,729",875,"9,690,815","161,903","59,855,524 "
23,Peru,"1,492,519","11,260","50,656 ",+182,"1,406,304","+8,963","35,559","2,253","44,810","1,521","8,881,594","266,654","33,307,537 "
24,Czechia,"1,486,613","10,964","25,389 ",+181,"1,298,877",+545,"162,347","1,890","138,630","2,368","11,278,655","1,051,763","10,723,575 "
25,Indonesia,"1,476,452","5,227","39,983 ",+118,"1,312,543","+7,622","123,926",,"5,356",145,"12,270,150","44,515","275,640,645 "
26,Netherlands,"1,220,945","7,579","16,371 ",+32,N/A,N/A,N/A,625,"71,139",954,"9,747,836","567,966","17,162,719 "
27,Chile,"947,783","4,825","22,402 ",+18,"888,826","+6,054","36,555","2,348","49,270","1,165","10,739,277","558,279","19,236,410 "
28,Canada,"946,370","4,050","22,759 ",+24,"886,512","+3,237","37,099",586,"24,915",599,"26,858,481","707,090","37,984,555 "
29,Romania,"913,143","6,136","22,579 ",+137,"819,799","+5,617","70,765","1,351","47,701","1,179","7,080,758","369,885","19,143,121 "
30,Belgium,"842,775","3,537","22,763 ",+35,"55,692",+77,"764,320",589,"72,487","1,958","10,605,652","912,186","11,626,638 "
31,Israel,"830,028",339,"6,154 ",+32,"811,008","+2,139","12,866",483,"90,244",669,"13,269,408","1,442,705","9,197,590 "
32,Portugal,"818,787",575,"16,805 ",+11,"769,838",+752,"32,144",155,"80,472","1,652","8,892,180","873,939","10,174,830 "
33,Iraq,"809,092","6,051","14,095 ",+29,"727,471","+4,185","67,526",476,"19,792",345,"7,750,389","189,591","40,879,544 "
34,Sweden,"773,662","7,722","13,364 ",+3,N/A,N/A,N/A,281,"76,257","1,317","6,627,544","653,253","10,145,443 "
35,Philippines,"684,275","6,630","13,039 ",+47,"579,488","+1,042","91,748",785,"6,184",118,"9,816,140","88,716","110,647,325 "
36,Pakistan,"637,042","3,301","13,965 ",+30,"586,228",+957,"36,849","2,564","2,844",62,"9,895,515","44,173","224,019,136 "
37,Hungary,"593,710","7,587","18,952 ",+249,"381,807","+3,631","192,951","1,423","61,573","1,966","4,367,900","452,993","9,642,302 "
38,Switzerland,"588,118","2,022","10,276 ",+29,"540,106","+1,217","37,736",158,"67,592","1,181","5,765,946","662,675","8,701,013 "
39,Bangladesh,"580,808","3,567","8,763 ",+25,"527,609","+1,915","44,436",,"3,501",53,"4,487,686","27,052","165,890,647 "
40,Serbia,"566,669","5,297","5,039 ",+37,"477,395","+3,483","84,235",243,"65,049",578,"3,313,232","380,330","8,711,461 "
41,Jordan,"562,857","9,130","6,181 ",+104,"456,188","+8,300","100,488",729,"54,767",601,"5,617,586","546,602","10,277,294 "
42,Austria,"523,269","3,289","9,151 ",+30,"480,597","+2,657","33,521",447,"57,858","1,012","6,493,316","717,962","9,044,089 "
43,Morocco,"492,842",439,"8,786 ",+11,"480,607",+507,"3,449",270,"13,238",236,"5,892,612","158,273","37,230,602 "
44,Japan,"459,043","1,289","8,908 ",+47,"436,463","+1,102","13,672",328,"3,638",71,"9,429,113","74,721","126,191,515 "
45,Lebanon,"448,721","3,856","5,903 ",+53,"350,694","+1,471","92,124",991,"65,960",868,"3,448,772","506,953","6,802,939 "
46,UAE,"446,594","2,196","1,456 ",+5,"429,573","+2,385","15,565",,"44,759",146,"36,012,066","3,609,215","9,977,810 "
47,Saudi Arabia,"386,300",466,"6,624 ",+6,"375,471",+306,"4,205",627,"10,971",188,"14,766,929","419,398","35,209,826 "
48,Slovakia,"352,528","1,977","9,261 ",+71,"255,300",,"87,967",683,"64,547","1,696","2,290,864","419,450","5,461,586 "
49,Panama,"352,082",415,"6,065 ",+5,"340,974",+481,"5,043",111,"80,672","1,390","2,095,216","480,073","4,364,367 "
50,Malaysia,"336,808","1,268","1,246 ",+2,"320,925","+1,083","14,637",161,"10,310",38,"7,316,059","223,943","32,669,226 "
51,Bulgaria,"317,116","4,375","12,413 ",+106,"242,311","+2,709","62,392",743,"45,893","1,796","2,006,166","290,333","6,909,888 "
52,Ecuador,"316,807","3,237","16,540 ",+36,"271,847",,"28,420",506,"17,759",927,"1,111,805","62,325","17,838,744 "
53,Belarus,"313,852","1,378","2,184 ",+9,"304,477","+1,447","7,191",,"33,222",231,"5,253,173","556,066","9,447,038 "
54,Georgia,"278,628",450,"3,722 ",+8,"270,922",+254,"3,984",,"69,945",934,"3,196,329","802,385","3,983,534 "
55,Nepal,"276,389",145,"3,020 ",+1,"272,187",+90,"1,182",,"9,363",102,"2,248,993","76,188","29,519,102 "
56,Bolivia,"266,086",879,"12,093 ",+19,"213,779","+1,088","40,214",71,"22,570","1,026","858,336","72,806","11,789,409 "
57,Croatia,"260,636","1,891","5,828 ",+20,"247,208",+665,"7,600",99,"63,778","1,426","1,495,041","365,839","4,086,614 "
58,Dominican Republic,"250,579",402,"3,289 ",+6,"209,586","+2,850","37,704",154,"22,931",301,"1,287,584","117,829","10,927,552 "
59,Azerbaijan,"249,492","1,185","3,404 ",+20,"233,834",+478,"12,254",,"24,445",334,"2,799,101","274,257","10,206,114 "
60,Tunisia,"247,254",747,"8,637 ",+27,"213,969",+464,"24,648",277,"20,762",725,"1,074,639","90,236","11,909,140 "
61,Greece,"245,405","3,058","7,649 ",+67,"209,436","+2,306","28,320",699,"23,629",737,"6,254,354","602,216","10,385,560 "
62,Kazakhstan,"235,095","1,088","2,952 ",+11,"212,908",+817,"19,235",221,"12,412",156,"8,405,640","443,780","18,940,998 "
63,Ireland,"232,164",680,"4,628 ",+18,"23,364",,"204,172",75,"46,637",930,"3,879,162","779,238","4,978,147 "
64,Palestine,"230,076","2,032","2,501 ",+23,"203,340","+1,665","24,235",206,"44,350",482,"1,384,569","266,894","5,187,709 "
65,Denmark,"225,844",,"2,405 ",+2,"214,922",,"8,517",46,"38,891",414,"23,267,463","4,006,674","5,807,176 "
66,Kuwait,"223,042","1,299","1,256 ",+10,"207,392","+1,212","14,394",238,"51,669",291,"1,994,656","462,078","4,316,712 "
67,Moldova,"219,988","2,273","4,661 ",+38,"193,562","+1,932","21,765",341,"54,627","1,157","816,504","202,754","4,027,065 "
68,Costa Rica,"213,438",,"2,908 ",,"190,950",,"19,580",147,"41,621",567,"775,821","151,286","5,128,187 "
