,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
202,Faeroe Islands,661,,1 ,,660,,0,,"13,490",20,"239,451","4,886,855","48,999 "
203,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,969,196 "
204,Cayman Islands,483,1,2 ,,462,+13,19,,"7,286",30,"80,763","1,218,384","66,287 "
205,Timor-Leste,394,22, ,,137,+12,257,,295,,"37,974","28,408","1,336,755 "
206,Wallis and Futuna,352,11,3 ,,18,,331,4,"31,732",270,"1,331","119,986","11,093 "
207,Brunei ,206,,3 ,,188,,15,,468,7,"112,060","254,366","440,546 "
208,Dominica,160,, ,,151,,9,,"2,219",,"12,936","179,375","72,117 "
209,Grenada,154,,1 ,,151,,2,,"1,364",9,"23,330","206,632","112,906 "
210,British Virgin Islands,153,,1 ,,131,,21,,"5,036",33,"13,223","435,268","30,379 "
211,New Caledonia,120,4, ,,58,,62,,417,,"27,423","95,382","287,508 "
212,Fiji,67,,2 ,,64,,1,,74,2,"34,782","38,595","901,206 "
213,Falkland Islands,54,, ,,54,,0,,"15,194",,"7,125","2,004,783","3,554 "
214,Laos,49,, ,,45,,4,,7,,"129,286","17,583","7,352,700 "
215,Macao,48,, ,,48,+1,0,,73,,"4,369","6,662","655,805 "
216,Saint Kitts and Nevis,44,, ,,42,,2,,823,,"10,591","198,055","53,475 "
217,Greenland,31,, ,,31,,0,,545,,"19,792","348,193","56,842 "
218,Vatican City,27,, ,,15,,12,,"33,666",,,,802 
219,Saint Pierre Miquelon,24,, ,,24,,0,,"4,157",,"3,729","645,938","5,773 "
220,Anguilla,22,, ,,20,,2,,"1,457",,"11,052","731,872","15,101 "
221,Montserrat,20,,1 ,,19,,0,,"4,005",200,"1,093","218,863","4,994 "
222,Solomon Islands,18,, ,,16,,2,,26,,"4,500","6,437","699,134 "
223,Western Sahara,10,,1 ,,8,,1,,16,2,,,"608,019 "
224,MS Zaandam,9,,2 ,,7,,0,,,,,, 
225,Marshall Islands,4,, ,,4,,0,,67,,,,"59,483 "
226,Samoa,3,, ,,2,,1,,15,,,,"199,381 "
227,Vanuatu,3,, ,,1,,2,,10,,470,"1,505","312,367 "
228,Micronesia,1,, ,,1,,0,,9,,,,"115,906 "
