,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,USA,"30,288,789","56,694","550,537 ","+1,169","22,443,240","+84,705","7,295,012","9,347","91,129","1,656","383,870,812","1,154,939","332,373,250 "
9,Brazil,"11,693,838","84,237","284,775 ","+2,375","10,287,057","+82,516","1,122,006","8,318","54,740","1,333","28,600,000","133,879","213,625,776 "
10,India,"11,473,946","35,482","159,249 ",+170,"11,060,951","+17,574","253,746","8,944","8,257",115,"229,249,784","164,979","1,389,567,944 "
11,Russia,"4,418,436","8,998","93,364 ",+427,"4,024,975","+10,755","300,097","2,300","30,268",640,"116,000,000","794,636","145,978,750 "
12,UK,"4,274,579","5,758","125,831 ",+141,"3,568,271","+19,540","580,477",968,"62,734","1,847","107,731,965","1,581,087","68,137,890 "
13,France,"4,146,609","38,501","91,437 ",+267,"275,360",,"3,779,812","4,219","63,427","1,399","57,940,302","886,267","65,375,661 "
14,Italy,"3,281,810","23,059","103,432 ",+431,"2,639,370","+19,716","539,008","3,317","54,336","1,712","45,540,778","754,001","60,398,854 "
15,Spain,"3,206,116","6,092","72,793 ",+228,"2,857,714",,"275,609","1,997","68,554","1,556","41,114,319","879,120","46,767,595 "
16,Turkey,"2,930,554","18,912","29,696 ",+73,"2,752,023","+17,161","148,835","1,484","34,486",349,"35,603,028","418,965","84,978,492 "
17,Germany,"2,610,769","16,094","74,677 ",+246,"2,383,600","+9,400","152,492","2,848","31,090",889,"46,319,641","551,599","83,973,334 "
18,Colombia,"2,314,154","4,554","61,498 ",+130,"2,212,512","+3,288","40,144","1,982","45,141","1,200","12,096,794","235,966","51,265,031 "
19,Argentina,"2,218,425","8,304","54,231 ",+195,"2,003,121","+4,527","161,073","3,485","48,769","1,192","8,137,605","178,895","45,488,194 "
20,Mexico,"2,169,007","1,278","195,119 ",+175,"1,716,135","+4,204","257,753","4,798","16,699","1,502","5,782,013","44,516","129,887,301 "
21,Poland,"1,956,974","25,052","48,032 ",+453,"1,593,165","+6,001","315,777","2,193","51,748","1,270","10,860,136","287,174","37,817,255 "
22,Iran,"1,771,115","7,802","61,492 ",+65,"1,514,061","+7,701","195,562","3,859","20,898",726,"11,912,137","140,557","84,749,695 "
23,South Africa,"1,532,497","1,531","51,634 ",+74,"1,459,056","+1,055","21,807",546,"25,612",863,"9,524,854","159,185","59,835,094 "
24,Ukraine,"1,489,023","11,833","28,986 ",+289,"1,237,676","+5,467","222,361",177,"34,193",666,"7,416,142","170,301","43,547,329 "
25,Indonesia,"1,437,283","6,825","38,915 ",+162,"1,266,673","+9,010","131,695",,"5,216",141,"11,816,463","42,881","275,561,667 "
26,Peru,"1,427,064",,"49,330 ",,"1,338,478",,"39,256","2,236","42,861","1,482","8,395,433","252,153","33,294,984 "
27,Czechia,"1,426,991","13,934","23,902 ",+114,"1,215,077",+379,"188,012","1,993","133,077","2,229","9,931,725","926,205","10,723,034 "
28,Netherlands,"1,173,487","5,924","16,165 ",+46,N/A,N/A,N/A,568,"68,378",942,"6,970,400","406,161","17,161,686 "
29,Canada,"918,175","2,307","22,545 ",+26,"863,991","+2,159","31,639",553,"24,178",594,"26,068,659","686,459","37,975,524 "
30,Chile,"905,212","4,430","21,816 ",+27,"851,154","+5,442","32,242","2,133","47,068","1,134","10,273,078","534,168","19,231,932 "
31,Romania,"874,985","6,186","21,787 ",+89,"790,813","+1,711","62,385","1,266","45,699","1,138","6,853,218","357,934","19,146,608 "
32,Israel,"824,178","1,475","6,057  ",+9,"793,940","+3,383","24,181",574,"89,608",659,"13,043,181","1,418,109","9,197,590 "
33,Portugal,"815,570",673,"16,722 ",+15,"764,019","+1,058","34,829",205,"80,149","1,643","8,590,018","844,175","10,175,638 "
34,Belgium,"813,026","3,165","22,572 ",+27,"54,703",+61,"735,751",503,"69,936","1,942","10,183,526","875,982","11,625,263 "
35,Iraq,"774,015","5,663","13,860 ",+33,"698,775","+3,591","61,380",434,"18,945",339,"7,498,360","183,537","40,854,824 "
36,Sweden,"732,070",,"13,228 ",+34,N/A,N/A,N/A,251,"72,170","1,304","6,627,544","653,364","10,143,725 "
37,Philippines,"635,698","4,387","12,866 ",+18,"561,099",+374,"61,733",785,"5,747",116,"9,443,850","85,382","110,607,472 "
38,Pakistan,"612,315","2,351","13,656 ",+61,"575,867","+2,853","22,792","1,978","2,735",61,"9,603,865","42,893","223,901,753 "
39,Switzerland,"577,111","1,858","10,163 ",+16,"533,151",+820,"33,797",149,"66,340","1,168","5,524,301","635,029","8,699,286 "
40,Bangladesh,"562,752","1,865","8,608 ",+11,"515,989","+1,510","38,155",,"3,393",52,"4,328,269","26,098","165,845,852 "
41,Hungary,"532,578","3,456","17,421 ",+195,"359,061","+2,382","156,096","1,167","55,230","1,807","4,136,190","428,933","9,642,969 "
42,Serbia,"531,558","5,446","4,810 ",+32,"451,672","+3,179","75,076",209,"61,012",552,"3,200,383","367,336","8,712,418 "
