,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
3,USA,"30,968,078","5,275","562,563 ",+37,"23,411,037",+153,"6,994,478","8,559","93,155","1,692","399,379,542","1,201,370","332,436,770 "
6,Brazil,"12,534,688",,"312,299 ",,"10,912,941",,"1,309,448","8,318","58,662","1,462","28,600,000","133,848","213,675,240 "
7,India,"12,045,280","6,070","161,905 ",+24,"11,357,359","+3,632","526,016","8,944","8,666",116,"241,864,161","174,001","1,390,012,428 "
8,France,"4,545,589",,"94,596 ",,"289,752",,"4,161,241","4,872","69,525","1,447","63,048,069","964,327","65,380,383 "
9,Russia,"4,528,543","8,711","98,033 ",+293,"4,146,408","+7,280","284,102","2,300","31,021",672,"119,700,000","819,971","145,980,795 "
10,UK,"4,337,696","4,654","126,615 ",+23,"3,821,179","+15,763","389,902",615,"63,650","1,858","121,517,399","1,783,099","68,149,558 "
12,Italy,"3,544,957","12,916","108,350 ",+417,"2,870,614","+19,725","565,993","3,721","58,695","1,794","49,249,985","815,452","60,395,950 "
13,Spain,"3,255,324",,"75,010 ",,"3,016,247",,"164,067","1,830","69,606","1,604","41,884,958","895,587","46,768,187 "
14,Turkey,"3,208,173",,"31,076 ",,"2,957,093",,"220,004","1,968","37,740",366,"37,877,236","445,571","85,008,231 "
15,Germany,"2,788,144","1,799","76,474 ",+6,"2,494,800","+10,200","216,870","3,209","33,199",911,"48,979,281","583,211","83,982,094 "
16,Colombia,"2,382,730",,"62,955 ",,"2,267,760",,"52,015","1,982","46,463","1,228","12,586,788","245,439","51,282,802 "
17,Argentina,"2,308,597",,"55,449 ",,"2,079,515",,"173,633","3,505","50,736","1,219","8,687,916","190,936","45,501,779 "
18,Poland,"2,267,964","16,965","51,932 ",+48,"1,824,431","+25,509","391,601","2,985","59,974","1,373","11,853,134","313,443","37,815,902 "
19,Mexico,"2,226,550","1,783","201,623 ",+194,"1,761,786","+2,663","263,141","4,798","17,136","1,552","6,034,939","46,447","129,931,687 "
20,Iran,"1,864,984","9,310","62,478 ",+81,"1,600,488","+7,269","202,018","3,940","21,997",737,"12,682,968","149,590","84,784,942 "
21,Ukraine,"1,652,409","8,346","32,132 ",+178,"1,303,500","+2,875","316,777",177,"37,953",738,"8,007,427","183,915","43,538,760 "
22,South Africa,"1,545,431",,"52,663 ",,"1,471,899",,"20,869",546,"25,818",880,"9,803,871","163,781","59,859,609 "
23,Peru,"1,529,882",,"51,469 ",,"1,442,405",,"36,008","2,255","45,929","1,545","9,160,551","275,009","33,310,047 "
24,Czechia,"1,516,772","1,722","26,036 ",+52,"1,342,113",+95,"148,623","1,727","141,441","2,428","12,028,967","1,121,720","10,723,683 "
25,Indonesia,"1,501,093","5,008","40,581 ",+132,"1,336,818","+5,418","123,694",,"5,446",147,"12,579,966","45,636","275,656,440 "
26,Netherlands,"1,259,155","6,718","16,475 ",+10,N/A,N/A,N/A,672,"73,365",960,"9,747,836","567,959","17,162,925 "
27,Chile,"977,243",,"22,754 ",,"912,058",,"42,431","2,539","50,799","1,183","11,045,213","574,156","19,237,306 "
28,Canada,"965,404",,"22,880 ",,"898,934",,"43,590",661,"25,414",602,"27,346,309","719,898","37,986,362 "
29,Romania,"940,443","3,825","23,234 ",+120,"840,127","+3,067","77,082","1,398","49,129","1,214","7,236,427","378,031","19,142,423 "
30,Belgium,"870,757","4,694","22,897 ",+27,"56,631",+260,"791,229",700,"74,892","1,969","10,998,006","945,909","11,626,913 "
31,Iraq,"838,265","5,837","14,249 ",+37,"750,435","+4,500","73,581",508,"20,503",349,"7,950,275","194,457","40,884,488 "
32,Israel,"832,012",88,"6,194 ",+9,"816,570",+352,"9,248",467,"90,460",673,"13,456,709","1,463,069","9,197,590 "
33,Portugal,"820,716",309,"16,843 ",+6,"775,849",+458,"28,024",136,"80,663","1,655","8,978,009","882,388","10,174,668 "
34,Sweden,"780,018",,"13,402 ",,N/A,N/A,N/A,284,"76,881","1,321","7,201,692","709,821","10,145,787 "
35,Philippines,"731,894","10,016","13,186 ",+16,"603,213",+78,"115,495",785,"6,614",119,"10,087,813","91,164","110,655,296 "
36,Pakistan,"659,116","4,525","14,256 ",+41,"598,197","+2,268","46,663","3,055","2,942",64,"10,107,095","45,112","224,042,612 "
37,Hungary,"641,124","7,263","20,161 ",+189,"399,961","+4,171","221,002","1,497","66,492","2,091","4,557,943","472,709","9,642,168 "
38,Bangladesh,"600,895","5,181","8,949 ",+45,"537,718","+2,077","54,228",,"3,622",54,"4,617,025","27,830","165,899,606 "
39,Switzerland,"596,790","4,573","10,302 ",+2,"544,729",+731,"41,759",158,"68,586","1,184","5,942,810","682,975","8,701,358 "
40,Jordan,"589,316",,"6,554 ",,"485,507",,"97,255",729,"57,338",638,"5,776,686","562,052","10,277,847 "
41,Serbia,"585,506",,"5,190 ",,"488,992",,"91,324",269,"67,212",596,"3,374,035","387,318","8,711,269 "
42,Austria,"539,541","3,076","9,275 ",+19,"494,377","+2,758","35,889",534,"59,655","1,025","22,610,260","2,499,927","9,044,369 "
43,Morocco,"494,659",,"8,798 ",,"482,352",,"3,509",254,"13,286",236,"5,938,604","159,498","37,232,992 "
44,Japan,"468,614","1,765","9,061 ",+30,"442,369","+1,132","17,184",342,"3,714",72,"9,687,049","76,766","126,189,409 "
45,Lebanon,"461,062",,"6,096 ",,"360,244",,"94,722",978,"67,776",896,"3,508,475","515,742","6,802,772 "
46,UAE,"457,071","1,874","1,486 ",+5,"440,731","+2,025","14,854",,"45,806",149,"37,130,827","3,721,097","9,978,463 "
47,Saudi Arabia,"388,866",541,"6,656 ",+6,"377,304",+357,"4,906",674,"11,043",189,"15,008,398","426,220","35,212,791 "
48,Slovakia,"358,115",205,"9,542 ",+46,"255,300",,"93,273",651,"65,570","1,747","2,331,828","426,950","5,461,600 "
49,Panama,"353,839",,"6,100 ",,"342,774",,"4,965",105,"81,068","1,398","2,128,932","487,757","4,364,739 "
50,Malaysia,"342,885",941,"1,260 ",+5,"327,406","+1,097","14,219",166,"10,495",39,"7,555,722","231,263","32,671,492 "
51,Bulgaria,"328,753",,"12,710 ",,"249,361",,"66,682",773,"47,579","1,839","2,058,602","297,933","6,909,604 "
52,Ecuador,"324,482",,"16,738 ",,"281,684",,"26,060",554,"18,188",938,"1,131,762","63,439","17,840,208 "
53,Belarus,"319,599",918,"2,227 ",+8,"310,189",+654,"7,183",,"33,831",236,"5,341,101","565,374","9,447,021 "
54,Georgia,"280,472",171,"3,765 ",+14,"272,601",+382,"4,106",,"70,409",945,"3,327,100","835,222","3,983,492 "
55,Nepal,"276,980",141,"3,027 ",,"272,612",+82,"1,341",,"9,382",103,"2,264,268","76,698","29,521,969 "
56,Bolivia,"269,628",326,"12,186 ",+21,"218,503",+582,"38,939",71,"22,869","1,034","885,287","75,086","11,790,280 "
57,Croatia,"267,522",300,"5,911 ",+18,"252,321","+1,084","9,290",126,"65,465","1,446","1,530,168","374,447","4,086,477 "
58,Azerbaijan,"257,330","1,129","3,513 ",+22,"236,500",+349,"17,317",,"25,212",344,"2,844,674","278,709","10,206,613 "
59,Greece,"255,755","1,724","7,945 ",+65,"219,367","+3,404","28,443",738,"24,627",765,"6,413,832","617,589","10,385,283 "
60,Dominican Republic,"252,182",199,"3,307 ",+3,"211,409",+365,"37,466",160,"23,076",303,"1,303,504","119,280","10,928,146 "
61,Tunisia,"250,565",,"8,735 ",,"215,365",,"26,465",290,"21,039",733,"1,093,326","91,800","11,909,816 "
62,Kazakhstan,"241,873","1,492","3,014 ",+20,"217,168",+788,"21,691",221,"12,769",159,"8,428,775","444,973","18,942,225 "
63,Palestine,"238,248","1,786","2,599 ",+18,"211,521","+1,181","24,128",197,"45,920",501,"1,530,859","295,056","5,188,359 "
64,Ireland,"234,541",,"4,666 ",,"23,364",,"206,511",66,"47,111",937,"3,970,025","797,442","4,978,448 "
65,Denmark,"228,692",679,"2,415 ",+1,"217,071",+481,"9,206",41,"39,380",416,"24,781,769","4,267,357","5,807,287 "
66,Kuwait,"228,299",,"1,286 ",,"212,596",,"14,417",251,"52,883",298,"2,029,695","470,157","4,317,057 "
67,Moldova,"226,521",,"4,827 ",,"201,769",,"19,925",339,"56,250","1,199","838,929","208,325","4,027,014 "
68,Costa Rica,"215,178",,"2,931 ",,"191,707",,"20,540",155,"41,958",572,"792,044","154,441","5,128,441 "
69,Lithuania,"214,365",412,"3,560 ",+12,"197,679",+61,"13,126",126,"79,571","1,321","2,330,608","865,104","2,694,021 "
70,Slovenia,"212,966",287,"4,024 ",+6,"196,518",+199,"12,424",111,"102,429","1,935","1,046,105","503,141","2,079,150 "
71,Paraguay,"208,655",,"4,063 ",,"170,802",,"33,790",407,"28,992",565,"894,011","124,218","7,197,096 "
72,Ethiopia,"200,563",,"2,801 ",,"154,323",,"43,439",805,"1,713",24,"2,332,735","19,929","117,049,869 "
73,Egypt,"200,050",,"11,882 ",,"153,175",,"34,993",90,"1,928",115,"2,506,788","24,161","103,752,400 "
74,Guatemala,"193,377",,"6,802 ",,"175,438",,"11,137",5,"10,649",375,"1,042,539","57,411","18,159,082 "
75,Armenia,"190,741",424,"3,476 ",+12,"172,096",+590,"15,169",,"64,280","1,171","842,817","284,031","2,967,342 "
76,Honduras,"187,460",445,"4,558 ",+1,"71,988",+604,"110,914",471,"18,708",455,"510,855","50,981","10,020,496 "
77,Qatar,"178,464",690,286 ,+2,"163,272",+362,"14,906",302,"63,560",102,"1,719,899","612,542","2,807,805 "
78,Bosnia and Herzegovina,"165,787",856,"6,427 ",+93,"128,980",+739,"30,380",,"50,767","1,968","780,081","238,873","3,265,672 "
79,Nigeria,"162,593",,"2,048 ",,"150,308",,"10,237",10,775,10,"1,727,467","8,231","209,882,707 "
80,Libya,"157,545",696,"2,653 ",+35,"145,882",+918,"9,010",,"22,701",382,"850,789","122,590","6,940,102 "
81,Oman,"156,883",796,"1,662 ",+1,"142,944",+524,"12,277",161,"30,160",320,"1,550,000","297,977","5,201,746 "
82,Venezuela,"156,655",,"1,565 ",,"145,293",,"9,797",162,"5,521",55,"3,157,788","111,283","28,376,211 "
83,Myanmar,"142,385",,"3,206  ",,"131,789",,"7,390",,"2,604",59,"2,534,481","46,352","54,679,210 "
84,Bahrain,"141,845",,513 ,,"133,098",,"8,234",58,"81,301",294,"3,531,022","2,023,857","1,744,699 "
85,Kenya,"130,214",,"2,117 ",,"91,754",,"36,343",121,"2,383",39,"1,468,835","26,882","54,640,173 "
86,North Macedonia,"126,938",,"3,675 ",,"104,356",,"18,907",124,"60,931","1,764","615,457","295,423","2,083,311 "
87,Albania,"124,134",,"2,210 ",,"89,456",,"32,468",46,"43,170",769,"546,908","190,198","2,875,469 "
88,Algeria,"116,836",,"3,080 ",,"81,316",,"32,440",20,"2,629",69,"230,751","5,193","44,432,996 "
89,Estonia,"104,214",584,879 ,+11,"77,867",+597,"25,468",69,"78,522",662,"1,132,206","853,082","1,327,195 "
90,S. Korea,"102,141",384,"1,726 ",+4,"94,124",+269,"6,291",100,"1,991",34,"7,616,331","148,461","51,301,850 "
91,Latvia,"101,207",167,"1,883 ",+5,"92,190",+176,"7,134",92,"54,101","1,007","1,851,123","989,538","1,870,694 "
92,Uruguay,"97,406",,915 ,,"77,567",,"18,924",295,"27,969",263,"1,319,969","379,015","3,482,633 "
93,Norway,"93,499",681,660 ,+4,"80,023","+5,691","12,816",52,"17,148",121,"4,612,197","845,881","5,452,537 "
94,Sri Lanka,"92,088",,561 ,,"88,623",,"2,904",,"4,287",26,"2,374,627","110,553","21,479,631 "
95,Montenegro,"90,418",335,"1,256 ",+11,"82,396",+460,"6,766",69,"143,949","2,000","334,941","533,239","628,125 "
96,Ghana,"90,287",,740 ,,"87,137",,"2,410",40,"2,862",23,"986,349","31,264","31,549,008 "
97,China,"90,182",15,"4,636 ",,"85,374",+10,172,1,63,3,"160,000,000","111,163","1,439,323,776 "
98,Kyrgyzstan,"88,163",71,"1,497 ",+2,"84,653",+53,"2,013",16,"13,351",227,"841,618","127,453","6,603,360 "
99,Zambia,"88,012",140,"1,200 ",,"84,464",+117,"2,348",95,"4,691",64,"1,238,169","65,998","18,760,573 "
100,Uzbekistan,"82,536",196,626 ,,"80,667",+144,"1,243",23,"2,440",19,"1,377,915","40,735","33,826,272 "
101,Finland,"76,425",422,822 ,+5,"46,000",,"29,603",54,"13,777",148,"3,901,452","703,333","5,547,090 "
102,Cuba,"73,204",701,417 ,+2,"69,204",+705,"3,583",71,"6,466",37,"2,943,431","259,986","11,321,495 "
103,Mozambique,"67,197",,764 ,,"55,275",,"11,158",,"2,107",24,"476,561","14,941","31,895,984 "
104,El Salvador,"63,766",,"2,003 ",+3,"61,009",,754,31,"9,794",308,"827,129","127,047","6,510,394 "
105,Luxembourg,"60,755",,738 ,,"56,318",,"3,699",21,"95,908","1,165","2,365,902","3,734,835","633,469 "
106,Singapore,"60,321",21,30 ,,"60,131",+9,160,1,"10,251",5,"8,307,697","1,411,839","5,884,310 "
107,Afghanistan,"56,384",62,"2,476 ",+4,"50,666",+653,"3,242","1,108","1,425",63,"344,165","8,697","39,571,332 "
109,Cameroon,"47,669",,721 ,,"35,261",,"11,687",53,"1,764",27,"905,000","33,481","27,029,947 "
110,Cyprus,"44,631",,252 ,,"2,057",,"42,322",51,"36,768",208,"3,163,098","2,605,841","1,213,849 "
111,Namibia,"43,632",,509 ,,"41,398",,"1,725",34,"16,946",198,"343,049","133,237","2,574,723 "
112,Ivory Coast,"43,180",,237 ,,"38,719",,"4,224",,"1,608",9,"510,008","18,990","26,856,830 "
113,Uganda,"40,794",,335 ,,"40,422",,37,,872,7,"933,199","19,942","46,795,872 "
114,Senegal,"38,566",46,"1,044 ",+7,"37,040",+287,482,29,"2,260",61,"437,125","25,612","17,066,949 "
115,Botswana,"38,466",,506 ,,"33,903",,"4,057",1,"16,118",212,"910,730","381,619","2,386,489 "
116,Jamaica,"38,227",,570 ,,"17,197",,"20,460",44,"12,868",192,"276,292","93,005","2,970,722 "
117,Zimbabwe,"36,822",,"1,520 ",,"34,603",,699,13,"2,451",101,"376,520","25,064","15,022,191 "
118,Malawi,"33,481",,"1,114 ",,"29,611",,"2,756",33,"1,718",57,"216,858","11,126","19,491,924 "
119,Sudan,"29,661",,"2,028 ",,"23,990",,"3,643",,665,45,"231,694","5,195","44,599,838 "
120,Australia,"29,273",18,909 ,,"26,275",+6,"2,089",,"1,138",35,"15,472,095","601,607","25,717,960 "
121,Malta,"28,938",63,388 ,+1,"27,418",+332,"1,132",,"65,409",877,"805,284","1,820,209","442,413 "
122,Thailand,"28,773",39,94 ,,"27,313",+74,"1,366",1,411,1,"8,074,112","115,461","69,929,559 "
123,DRC,"28,012",82,739 ,,"25,398",,"1,875",,306,8,,,"91,550,864 "
124,Madagascar,"23,969",384,394 ,+7,"21,671",+35,"1,904",26,850,14,"141,041","4,999","28,212,328 "
125,Maldives,"23,524",,66 ,,"20,723",,"2,735",93,"42,963",121,"639,691","1,168,296","547,542 "
126,Angola,"22,063",,533 ,,"20,289",,"1,241",16,656,16,"415,664","12,366","33,613,013 "
127,Rwanda,"21,419",,301 ,,"19,785",,"1,333",7,"1,624",23,"1,123,901","85,225","13,187,441 "
128,Guinea,"19,773",103,123 ,+3,"16,480",+55,"3,170",24,"1,476",9,"178,913","13,358","13,393,481 "
129,Mayotte,"19,306",,154 ,,"2,964",,"16,188",16,"69,536",555,"151,773","546,656","277,639 "
130,Gabon,"18,777",,111 ,,"16,074",,"2,592",27,"8,293",49,"621,314","274,404","2,264,232 "
131,French Polynesia,"18,607",,141 ,,"4,842",,"13,624",2,"65,957",500,"26,355","93,422","282,108 "
132,Syria,"18,498",,"1,239 ",,"12,377",,"4,882",,"1,039",70,,,"17,812,193 "
133,Mauritania,"17,771",,448 ,,"17,008",,315,14,"3,750",95,"201,536","42,526","4,739,133 "
134,Eswatini,"17,321",,667 ,,"16,418",,236,6,"14,817",571,"172,043","147,168","1,169,023 "
