,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
3,USA,"30,962,803","44,096","562,526 ",+510,"23,410,884","+62,175","6,989,393","8,546","93,139","1,692","399,342,018","1,201,257","332,436,770 "
6,Brazil,"12,534,688","44,326","312,299 ","+1,605","10,912,941","+33,314","1,309,448","8,318","58,662","1,462","28,600,000","133,848","213,675,240 "
7,India,"12,039,210","68,206","161,881 ",+295,"11,353,727","+32,149","523,602","8,944","8,661",116,"240,950,842","173,344","1,390,012,428 "
8,France,"4,545,589","37,014","94,596 ",+131,"289,752",+402,"4,161,241","4,872","69,525","1,447","63,048,069","964,327","65,380,383 "
9,Russia,"4,519,832","9,088","97,740 ",+336,"4,139,128","+8,630","282,964","2,300","30,962",670,"119,500,000","818,601","145,980,795 "
10,UK,"4,333,042","3,862","126,592 ",+19,"3,805,416","+18,104","401,034",615,"63,581","1,858","121,517,399","1,783,099","68,149,558 "
12,Italy,"3,532,041","19,595","107,933 ",+297,"2,850,889","+17,950","573,219","3,679","58,481","1,787","49,093,293","812,857","60,395,950 "
13,Spain,"3,255,324",,"75,010 ",,"3,016,247",,"164,067","1,830","69,606","1,604","41,884,958","895,587","46,768,187 "
14,Turkey,"3,208,173","29,058","31,076 ",+153,"2,957,093","+17,164","220,004","1,968","37,740",366,"37,877,236","445,571","85,008,231 "
15,Germany,"2,786,345","13,651","76,468 ",+64,"2,484,600","+7,100","225,277","3,209","33,178",911,"48,979,281","583,211","83,982,094 "
16,Colombia,"2,382,730","7,139","62,955 ",+165,"2,267,760","+6,387","52,015","1,982","46,463","1,228","12,586,788","245,439","51,282,802 "
17,Argentina,"2,308,597","7,208","55,449 ",+81,"2,079,515","+7,287","173,633","3,505","50,736","1,219","8,687,916","190,936","45,501,779 "
18,Poland,"2,250,999","29,261","51,884 ",+131,"1,798,922","+23,854","400,193","2,894","59,525","1,372","11,798,342","311,994","37,815,902 "
19,Mexico,"2,224,767","4,922","201,429 ",+567,"1,759,123","+3,325","264,215","4,798","17,123","1,550","6,027,613","46,391","129,931,687 "
20,Iran,"1,855,674","8,751","62,397 ",+89,"1,593,219","+8,105","200,058","3,920","21,887",736,"12,618,420","148,829","84,784,942 "
21,Ukraine,"1,644,063","11,932","31,954 ",+203,"1,300,625","+3,343","311,484",177,"37,761",734,"7,983,023","183,354","43,538,760 "
22,South Africa,"1,545,431",965,"52,663 ",+15,"1,471,899",+735,"20,869",546,"25,818",880,"9,803,871","163,781","59,859,609 "
23,Peru,"1,529,882","8,909","51,469 ",+231,"1,442,405","+9,955","36,008","2,255","45,929","1,545","9,160,551","275,009","33,310,047 "
24,Czechia,"1,515,050","3,965","25,984 ",+130,"1,342,018",+156,"147,048","1,800","141,281","2,423","11,956,620","1,114,973","10,723,683 "
25,Indonesia,"1,496,085","4,083","40,449 ",+85,"1,331,400","+4,279","124,236",,"5,427",147,"12,533,033","45,466","275,656,440 "
26,Netherlands,"1,252,437","7,430","16,465 ",+15,N/A,N/A,N/A,646,"72,973",959,"9,747,836","567,959","17,162,925 "
27,Chile,"977,243","7,330","22,754 ",+101,"912,058","+6,623","42,431","2,539","50,799","1,183","11,045,213","574,156","19,237,306 "
28,Canada,"965,404","4,321","22,880 ",+28,"898,934","+2,728","43,590",661,"25,414",602,"27,346,309","719,898","37,986,362 "
29,Romania,"936,618","4,439","23,114 ",+117,"837,060","+2,898","76,444","1,386","48,929","1,207","7,222,072","377,281","19,142,423 "
30,Belgium,"866,063","5,332","22,870 ",+18,"56,371",+201,"786,822",667,"74,488","1,967","10,933,835","940,390","11,626,913 "
31,Iraq,"832,428","5,271","14,212 ",+35,"745,935","+4,820","72,281",492,"20,360",348,"7,908,378","193,432","40,884,488 "
32,Israel,"831,924",541,"6,185 ",+20,"816,218","+1,713","9,521",468,"90,450",672,"13,445,227","1,461,821","9,197,590 "
33,Portugal,"820,407",365,"16,837 ",+10,"775,391",+384,"28,179",142,"80,632","1,655","8,978,009","882,388","10,174,668 "
34,Sweden,"780,018",,"13,402 ",,N/A,N/A,N/A,284,"76,881","1,321","7,201,692","709,821","10,145,787 "
35,Philippines,"721,878","9,461","13,170 ",+11,"603,135","+21,981","105,573",785,"6,524",119,"10,041,878","90,749","110,655,296 "
36,Pakistan,"654,591","4,767","14,215 ",+57,"595,929","+2,647","44,447","3,043","2,922",63,"10,066,726","44,932","224,042,612 "
37,Hungary,"633,861","9,082","19,972 ",+220,"395,790","+1,791","218,099","1,527","65,738","2,071","4,515,464","468,304","9,642,168 "
38,Bangladesh,"595,714","3,908","8,904 ",+35,"535,641","+2,019","51,169",,"3,591",54,"4,588,830","27,660","165,899,606 "
39,Switzerland,"592,217",,"10,300 ",+1,"543,998",+731,"37,919",162,"68,060","1,184","5,851,917","672,529","8,701,358 "
40,Jordan,"589,316","7,183","6,554 ",+82,"485,507","+9,417","97,255",729,"57,338",638,"5,776,686","562,052","10,277,847 "
41,Serbia,"585,506","3,889","5,190 ",+39,"488,992",,"91,324",269,"67,212",596,"3,374,035","387,318","8,711,269 "
42,Austria,"536,465","2,679","9,256 ",+25,"491,619","+2,655","35,590",519,"59,315","1,023","22,455,472","2,482,812","9,044,369 "
43,Morocco,"494,659",301,"8,798 ",,"482,352",+268,"3,509",254,"13,286",236,"5,938,604","159,498","37,232,992 "
44,Japan,"466,849","1,983","9,031 ",+33,"441,237","+1,037","16,581",341,"3,700",72,"9,666,033","76,599","126,189,409 "
45,Lebanon,"461,062","2,724","6,096 ",+38,"360,244",,"94,722",978,"67,776",896,"3,508,475","515,742","6,802,772 "
46,UAE,"455,197","2,128","1,481 ",+4,"438,706","+2,243","15,010",,"45,618",148,"36,963,518","3,704,330","9,978,463 "
47,Saudi Arabia,"388,325",531,"6,650 ",+7,"376,947",+389,"4,728",638,"11,028",189,"14,961,893","424,899","35,212,791 "
48,Slovakia,"357,910",925,"9,496 ",+70,"255,300",,"93,114",662,"65,532","1,739","2,329,530","426,529","5,461,600 "
49,Panama,"353,839",342,"6,100 ",+10,"342,774",+395,"4,965",105,"81,068","1,398","2,128,932","487,757","4,364,739 "
50,Malaysia,"341,944","1,302","1,255 ",+4,"326,309","+1,127","14,380",169,"10,466",38,"7,521,383","230,212","32,671,492 "
51,Bulgaria,"328,753",983,"12,710 ",+60,"249,361",+457,"66,682",773,"47,579","1,839","2,058,602","297,933","6,909,604 "
52,Ecuador,"324,482","1,783","16,738 ",+59,"281,684","+9,837","26,060",554,"18,188",938,"1,131,762","63,439","17,840,208 "
53,Belarus,"318,681","1,050","2,219 ",+8,"309,535","+1,319","6,927",,"33,733",235,"5,330,319","564,233","9,447,021 "
54,Georgia,"280,301",365,"3,751 ",+5,"272,219",+415,"4,331",,"70,366",942,"3,312,802","831,633","3,983,492 "
55,Nepal,"276,839",89,"3,027 ",,"272,530",+95,"1,282",,"9,377",103,"2,261,146","76,592","29,521,969 "
56,Bolivia,"269,302",591,"12,165 ",+22,"217,921",+818,"39,216",71,"22,841","1,032","883,040","74,896","11,790,280 "
57,Croatia,"267,222","1,321","5,893 ",+21,"251,237",+998,"10,092",121,"65,392","1,442","1,527,320","373,750","4,086,477 "
58,Azerbaijan,"256,201","1,831","3,491 ",+27,"236,151",+545,"16,559",,"25,101",342,"2,837,044","277,961","10,206,613 "
59,Greece,"254,031","1,441","7,880 ",+54,"215,963","+1,436","30,188",735,"24,461",759,"6,398,225","616,086","10,385,283 "
60,Dominican Republic,"251,983",401,"3,304 ",+2,"211,044",+493,"37,635",151,"23,058",302,"1,301,772","119,121","10,928,146 "
61,Tunisia,"250,565",862,"8,735 ",+30,"215,365",+170,"26,465",290,"21,039",733,"1,093,326","91,800","11,909,816 "
62,Kazakhstan,"240,381","1,596","2,994 ",+14,"216,380",+906,"21,007",221,"12,690",158,"8,428,775","444,973","18,942,225 "
63,Palestine,"236,462","1,714","2,581 ",+24,"210,340","+1,664","23,541",197,"45,575",497,"1,515,267","292,051","5,188,359 "
64,Ireland,"234,541",604,"4,666 ",+13,"23,364",,"206,511",66,"47,111",937,"3,936,100","790,628","4,978,448 "
65,Kuwait,"228,299","1,121","1,286 ",+7,"212,596","+1,236","14,417",251,"52,883",298,"2,029,695","470,157","4,317,057 "
66,Denmark,"228,013",964,"2,414 ",+1,"216,590",+464,"9,009",43,"39,263",416,"24,570,705","4,231,013","5,807,287 "
67,Moldova,"226,521",861,"4,827 ",+42,"201,769","+2,032","19,925",339,"56,250","1,199","838,929","208,325","4,027,014 "
68,Costa Rica,"215,178",,"2,931 ",,"191,707",,"20,540",155,"41,958",572,"792,044","154,441","5,128,441 "
69,Lithuania,"213,953",424,"3,548 ",+9,"197,618",+89,"12,787",128,"79,418","1,317","2,323,474","862,456","2,694,021 "
70,Slovenia,"212,679",641,"4,018 ",+7,"196,319",+474,"12,342",106,"102,291","1,933","1,044,331","502,287","2,079,150 "
71,Paraguay,"208,655","2,058","4,063 ",+60,"170,802","+1,605","33,790",407,"28,992",565,"894,011","124,218","7,197,096 "
72,Ethiopia,"200,563","1,769","2,801 ",+17,"154,323","+1,087","43,439",805,"1,713",24,"2,332,735","19,929","117,049,869 "
73,Egypt,"200,050",686,"11,882 ",+37,"153,175",+533,"34,993",90,"1,928",115,"2,506,788","24,161","103,752,400 "
74,Guatemala,"193,377",327,"6,802 ",+8,"175,438",+458,"11,137",5,"10,649",375,"1,042,539","57,411","18,159,082 "
75,Armenia,"190,317",777,"3,464 ",+14,"171,506",+603,"15,347",,"64,137","1,167","838,839","282,690","2,967,342 "
76,Honduras,"187,015",678,"4,557 ",+21,"71,384",+357,"111,074",464,"18,663",455,"508,640","50,760","10,020,496 "
77,Qatar,"177,774",639,284 ,,"162,910",+355,"14,580",279,"63,314",101,"1,712,932","610,061","2,807,805 "
78,Bosnia and Herzegovina,"164,931","1,056","6,334 ",+33,"128,241",,"30,356",,"50,504","1,940","769,406","235,604","3,265,672 "
79,Nigeria,"162,593",104,"2,048 ",+7,"150,308",+103,"10,237",10,775,10,"1,727,467","8,231","209,882,707 "
80,Libya,"156,849",733,"2,618 ",+16,"144,964","+1,267","9,267",,"22,600",377,"846,878","122,027","6,940,102 "
81,Venezuela,"156,655",992,"1,565 ",+10,"145,293","+1,064","9,797",162,"5,521",55,"3,157,788","111,283","28,376,211 "
82,Oman,"156,087","2,249","1,661 ",+11,"142,420","+1,654","12,006",145,"30,007",319,"1,550,000","297,977","5,201,746 "
83,Myanmar,"142,385",8,"3,206 ",,"131,789",+1,"7,390",,"2,604",59,"2,534,481","46,352","54,679,210 "
84,Bahrain,"141,845","1,027",513 ,,"133,098",+643,"8,234",58,"81,301",294,"3,531,022","2,023,857","1,744,699 "
85,Kenya,"130,214",884,"2,117 ",+13,"91,754",+89,"36,343",121,"2,383",39,"1,468,835","26,882","54,640,173 "
86,North Macedonia,"126,938",708,"3,675 ",+33,"104,356",+11,"18,907",124,"60,931","1,764","615,457","295,423","2,083,311 "
87,Albania,"124,134",493,"2,210 ",+6,"89,456",+557,"32,468",46,"43,170",769,"546,908","190,198","2,875,469 "
88,Algeria,"116,836",86,"3,080 ",+3,"81,316",+74,"32,440",20,"2,629",69,"230,751","5,193","44,432,996 "
89,Estonia,"103,630",892,868 ,+8,"77,270",+639,"25,492",69,"78,082",654,"1,128,899","850,590","1,327,195 "
