,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
3,USA,"30,918,707","63,967","562,016 ",+800,"23,348,709","+70,816","7,007,982","8,595","93,006","1,691","398,283,374","1,198,073","332,436,770 "
6,Brazil,"12,490,362","83,039","310,694 ","+3,368","10,879,627","+55,532","1,300,041","8,318","58,455","1,454","28,600,000","133,848","213,675,240 "
7,India,"11,971,004","62,631","161,586  ",+311,"11,321,578","+28,729","487,840","8,944","8,612",116,"239,769,553","172,495","1,390,012,428 "
8,Russia,"4,510,744","8,885","97,404 ",+387,"4,130,498","+10,337","282,842","2,300","30,900",667,"119,100,000","815,861","145,980,795 "
9,France,"4,508,575","42,619","94,465 ",+190,"289,350","+1,288","4,124,760","4,791","68,959","1,445","62,480,718","955,649","65,380,383 "
10,UK,"4,329,180","4,715","126,573 ",+58,"3,787,312","+18,878","415,295",615,"63,525","1,857","121,517,399","1,783,099","68,149,558 "
12,Italy,"3,512,446","23,832","107,636 ",+380,"2,832,939","+18,287","571,871","3,635","58,157","1,782","48,820,663","808,343","60,395,950 "
13,Spain,"3,255,324",,"75,010 ",,"3,016,247",,"164,067","1,830","69,606","1,604","41,884,958","895,587","46,768,187 "
14,Turkey,"3,179,115","30,021","30,923 ",+151,"2,939,929","+18,892","208,263","1,886","37,398",364,"37,657,127","442,982","85,008,231 "
15,Germany,"2,772,694","18,692","76,404 ",+101,"2,477,500","+9,900","218,790","3,209","33,015",910,"48,979,281","583,211","83,982,094 "
16,Colombia,"2,375,591","8,254","62,790 ",+145,"2,261,373","+5,425","51,428","1,982","46,323","1,224","12,542,392","244,573","51,282,802 "
17,Argentina,"2,301,389","10,338","55,368 ",+133,"2,072,228","+7,749","173,793","3,506","50,578","1,217","8,650,723","190,118","45,501,779 "
18,Poland,"2,221,738","31,770","51,753 ",+448,"1,775,068","+27,845","394,917","2,823","58,751","1,369","11,711,826","309,706","37,815,902 "
19,Mexico,"2,219,845","5,303","200,862 ",+651,"1,755,798","+3,673","263,185","4,798","17,085","1,546","6,006,949","46,232","129,931,687 "
20,Iran,"1,846,923","8,120","62,308 ",+85,"1,585,114","+7,706","199,501","3,921","21,784",735,"12,550,000","148,022","84,784,942 "
21,Ukraine,"1,632,131","17,424","31,751 ",+290,"1,297,282","+7,124","303,098",177,"37,487",729,"7,945,044","182,482","43,538,760 "
22,South Africa,"1,544,466","1,387","52,648 ",+46,"1,471,164","+1,599","20,654",546,"25,801",880,"9,779,615","163,376","59,859,609 "
23,Peru,"1,520,973","8,589","51,238  ",+206,"1,432,450","+9,191","37,285","2,301","45,661","1,538","9,089,474","272,875","33,310,047 "
24,Czechia,"1,511,085","7,700","25,854 ",+121,"1,341,862",+432,"143,369","1,845","140,911","2,411","11,871,542","1,107,040","10,723,683 "
25,Indonesia,"1,492,002","4,461","40,364 ",+198,"1,327,121","+4,243","124,517",,"5,413",146,"12,490,348","45,311","275,656,440 "
26,Netherlands,"1,245,007","8,798","16,450 ",+29,N/A,N/A,N/A,643,"72,540",958,"9,747,836","567,959","17,162,925 "
27,Chile,"969,913","7,592","22,653 ",+66,"905,435","+7,460","41,825","2,514","50,418","1,178","10,966,769","570,078","19,237,306 "
28,Canada,"961,083","4,428","22,852 ",+26,"896,206","+2,737","42,025",661,"25,301",602,"27,233,666","716,933","37,986,362 "
29,Romania,"932,179","5,869","22,997 ",+162,"834,162","+3,892","75,020","1,373","48,697","1,201","7,200,595","376,159","19,142,423 "
30,Belgium,"860,731","6,123","22,852 ",+36,"56,170",,"781,709",664,"74,029","1,965","10,854,112","933,533","11,626,913 "
31,Israel,"831,383",,"6,165 ",,"814,505",,"10,713",479,"90,391",670,"13,379,821","1,454,709","9,197,590 "
32,Iraq,"827,157","5,062","14,177 ",+20,"741,115","+4,368","71,865",493,"20,232",347,"7,871,105","192,521","40,884,488 "
33,Portugal,"820,042",344,"16,827 ",+8,"775,007","+3,668","28,208",148,"80,596","1,654","8,978,009","882,388","10,174,668 "
34,Sweden,"780,018",,"13,402 ",,N/A,N/A,N/A,284,"76,881","1,321","7,201,692","709,821","10,145,787 "
35,Philippines,"712,417","9,570","13,159 ",+10,"581,154",+474,"118,104",785,"6,438",119,"9,990,211","90,282","110,655,296 "
36,Pakistan,"649,824","4,468","14,158 ",+67,"593,282","+2,137","42,384","2,842","2,900",63,"10,021,070","44,728","224,042,612 "
37,Hungary,"624,779","10,167","19,752 ",+253,"393,999","+1,685","211,028","1,512","64,797","2,049","4,486,163","465,265","9,642,168 "
38,Switzerland,"592,217",,"10,299 ",+1,"543,267",+732,"38,651",159,"68,060","1,184","5,851,917","672,529","8,701,358 "
39,Bangladesh,"591,806","3,674","8,869 ",+39,"533,622","+1,971","49,315",,"3,567",53,"4,566,694","27,527","165,899,606 "
40,Jordan,"582,133","4,399","6,472 ",+98,"476,090","+8,053","99,571",729,"56,640",630,"5,733,071","557,809","10,277,847 "
41,Serbia,"581,617","4,497","5,151 ",+37,"488,992","+4,537","87,474",254,"66,766",591,"3,362,593","386,005","8,711,269 "
42,Austria,"533,786","3,498","9,231 ",+31,"488,964","+2,876","35,591",504,"59,019","1,021","6,568,554","726,259","9,044,369 "
43,Morocco,"494,358",491,"8,798 ",+5,"482,084",+487,"3,476",262,"13,277",236,"5,930,358","159,277","37,232,992 "
44,Japan,"464,866","2,026","8,998 ",+31,"440,200","+1,321","15,668",331,"3,684",71,"9,624,077","76,267","126,189,409 "
45,Lebanon,"458,338","2,957","6,058 ",+45,"360,244","+3,424","92,036",978,"67,375",891,"3,508,226","515,705","6,802,772 "
46,UAE,"453,069","2,304","1,477 ",+5,"436,463","+2,428","15,129",,"45,405",148,"36,732,784","3,681,207","9,978,463 "
47,Saudi Arabia,"387,794",502,"6,643 ",+6,"376,558",+355,"4,593",635,"11,013",189,"14,915,565","423,584","35,212,791 "
48,Slovakia,"356,985","1,531","9,426 ",+53,"255,300",,"92,259",668,"65,363","1,726","2,322,443","425,231","5,461,600 "
49,Panama,"353,497",480,"6,090 ",+3,"342,379",+479,"5,028",105,"80,989","1,395","2,123,009","486,400","4,364,739 "
50,Malaysia,"340,642","1,199","1,251 ",+2,"325,182","+1,257","14,209",167,"10,426",38,"7,478,436","228,898","32,671,492 "
51,Bulgaria,"327,770","2,537","12,650 ",+49,"248,904","+1,453","66,216",769,"47,437","1,831","2,054,509","297,341","6,909,604 "
52,Ecuador,"322,699","1,248","16,679 ",+47,"271,847",,"34,173",534,"18,088",935,"1,127,737","63,213","17,840,208 "
53,Belarus,"317,631","1,213","2,211 ",+9,"308,216","+1,212","7,204",,"33,622",234,"5,310,667","562,153","9,447,021 "
54,Georgia,"279,936",490,"3,746 ",+8,"271,804",+219,"4,386",,"70,274",940,"3,286,868","825,122","3,983,492 "
55,Nepal,"276,750",85,"3,027 ",+3,"272,435",+93,"1,288",,"9,374",103,"2,259,045","76,521","29,521,969 "
56,Bolivia,"268,711",878,"12,143 ",+12,"217,103","+1,046","39,465",71,"22,791","1,030","878,679","74,526","11,790,280 "
57,Croatia,"265,901","1,790","5,872 ",+18,"250,239","+1,034","9,790",121,"65,069","1,437","1,519,731","371,893","4,086,477 "
58,Azerbaijan,"254,370","1,690","3,464 ",+19,"235,606",+713,"15,300",,"24,922",339,"2,826,454","276,924","10,206,613 "
59,Greece,"252,590","3,132","7,826 ",+72,"214,527","+1,134","30,237",728,"24,322",754,"6,376,947","614,037","10,385,283 "
60,Dominican Republic,"251,582",250,"3,302 ",+4,"210,551",+155,"37,729",139,"23,021",302,"1,298,220","118,796","10,928,146 "
61,Tunisia,"249,703",921,"8,705 ",+21,"215,195",+279,"25,803",281,"20,966",731,"1,088,744","91,416","11,909,816 "
62,Kazakhstan,"238,785","1,485","2,980 ",,"215,474",+760,"20,331",221,"12,606",157,"8,428,775","444,973","18,942,225 "
63,Palestine,"234,748","1,199","2,557 ",+20,"208,676","+1,762","23,515",197,"45,245",493,"1,509,574","290,954","5,188,359 "
64,Ireland,"233,937",610,"4,653 ",+2,"23,364",,"205,920",65,"46,990",935,"3,936,100","790,628","4,978,448 "
65,Kuwait,"227,178","1,198","1,279 ",+9,"211,360","+1,336","14,539",250,"52,623",296,"2,022,843","468,570","4,317,057 "
66,Denmark,"227,049",416,"2,413 ",+2,"216,126",+530,"8,510",41,"39,097",416,"24,221,502","4,170,881","5,807,287 "
67,Moldova,"225,660","1,674","4,785 ",+40,"199,737","+2,114","21,138",347,"56,037","1,188","835,839","207,558","4,027,014 "
68,Costa Rica,"215,178",,"2,931 ",,"191,707",,"20,540",155,"41,958",572,"792,044","154,441","5,128,441 "
69,Lithuania,"213,529",806,"3,539 ",+9,"197,529","+1,025","12,461",128,"79,260","1,314","2,316,340","859,808","2,694,021 "
70,Slovenia,"212,038","1,251","4,011 ",+3,"195,845",+845,"12,182",107,"101,983","1,929","1,040,870","500,623","2,079,150 "
71,Paraguay,"206,597","1,893","4,003 ",+45,"169,197","+1,594","33,397",423,"28,706",556,"887,534","123,318","7,197,096 "
72,Egypt,"199,364",683,"11,845 ",+41,"152,642",+444,"34,877",90,"1,922",114,"2,506,788","24,161","103,752,400 "
73,Ethiopia,"198,794","2,173","2,784 ",+15,"153,236",+728,"42,774",769,"1,698",24,"2,325,485","19,867","117,049,869 "
