,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,China,"90,072",6,"4,636 ",,"85,267",+13,169,,63,3,"160,000,000","111,163","1,439,323,776 "
9,USA,"30,359,806","63,555","552,817 ","+1,390","22,523,902","+76,589","7,283,087","9,044","91,337","1,663","385,654,078","1,160,230","332,394,423 "
10,Brazil,"11,787,600","87,169","287,795 ","+2,659","10,339,432","+52,375","1,160,373","8,318","55,174","1,347","28,600,000","133,869","213,642,264 "
11,India,"11,513,945","39,643","159,405 ",+155,"11,081,508","+20,338","273,032","8,944","8,285",115,"230,313,163","165,727","1,389,716,105 "
12,Russia,"4,428,239","9,803","93,824 ",+460,"4,037,036","+12,061","297,379","2,300","30,335",643,"116,300,000","796,688","145,979,432 "
13,UK,"4,280,882","6,303","125,925 ",+94,"3,593,136","+24,865","561,821",968,"62,823","1,848","110,914,005","1,627,695","68,141,779 "
14,France,"4,181,607","34,998","91,679 ",+268,"278,263","+1,270","3,811,665","4,246","63,961","1,402","58,498,845","894,789","65,377,235 "
15,Italy,"3,306,683","24,907","103,855 ",+423,"2,655,346","+15,976","547,482","3,333","54,748","1,720","45,894,515","759,870","60,397,886 "
16,Spain,"3,212,332","6,216","72,910 ",+117,"2,945,446","+87,732","193,976","1,997","68,687","1,559","41,114,319","879,116","46,767,793 "
17,Turkey,"2,950,603","20,049","29,777 ",+81,"2,770,638","+18,615","150,188","1,503","34,718",350,"35,787,480","421,087","84,988,405 "
18,Germany,"2,628,629","17,860","74,878 ",+201,"2,383,600",,"170,151","2,848","31,302",892,"47,578,793","566,574","83,976,254 "
19,Colombia,"2,319,293","5,139","61,636 ",+138,"2,216,945","+4,433","40,712","1,982","45,236","1,202","12,142,887","236,838","51,270,955 "
20,Argentina,"2,226,753","8,328","54,386 ",+155,"2,009,877","+6,756","162,490","3,522","48,947","1,195","8,189,797","180,024","45,492,722 "
21,Mexico,"2,175,462","6,455","195,908 ",+789,"1,720,430","+4,295","259,124","4,798","16,747","1,508","5,811,642","44,739","129,902,096 "
22,Poland,"1,984,246","27,276","48,388 ",+356,"1,603,832","+10,667","332,026","2,190","52,470","1,280","10,946,376","289,458","37,816,804 "
23,Iran,"1,778,645","7,530","61,581 ",+89,"1,521,377","+7,316","195,687","3,866","20,984",727,"11,976,428","141,296","84,761,444 "
24,South Africa,"1,533,961","1,464","51,724 ",+90,"1,459,894",+838,"22,343",546,"25,633",864,"9,556,404","159,691","59,843,266 "
25,Ukraine,"1,504,076","15,053","29,253 ",+267,"1,244,190","+6,514","230,633",177,"34,541",672,"7,520,147","172,700","43,544,473 "
26,Indonesia,"1,443,853","6,570","39,142 ",+227,"1,272,958","+6,285","131,753",,"5,239",142,"11,816,463","42,876","275,593,258 "
27,Peru,"1,443,521","7,923","49,706 ",+183,"1,355,792","+8,632","38,023","2,226","43,349","1,493","8,529,823","256,151","33,300,005 "
28,Czechia,"1,439,155","12,018","24,256 ",+178,"1,233,090",+479,"181,809","1,989","134,209","2,262","10,127,742","944,466","10,723,250 "
29,Netherlands,"1,179,612","6,125","16,198 ",+33,N/A,N/A,N/A,564,"68,734",944,"6,970,400","406,151","17,162,099 "
30,Canada,"922,848","3,609","22,590 ",+36,"870,978","+5,893","29,280",587,"24,299",595,"26,250,445","691,181","37,979,136 "
31,Chile,"911,469","6,257","21,988 ",+172,"854,827","+3,673","34,654","2,152","47,389","1,143","10,343,273","537,768","19,233,723 "
32,Romania,"881,159","6,174","21,877 ",+90,"794,950","+4,137","64,332","1,286","46,025","1,143","6,891,603","359,965","19,145,213 "
33,Israel,"825,562","1,384","6,069 ",+12,"798,312","+4,372","21,181",553,"89,759",660,"13,049,243","1,418,768","9,197,590 "
34,Belgium,"818,142","5,116","22,600 ",+28,"54,933",+230,"740,609",522,"70,373","1,944","10,258,384","882,380","11,625,813 "
35,Portugal,"816,055",485,"16,743 ",+21,"764,599",+580,"34,713",187,"80,199","1,645","8,671,839","852,243","10,175,315 "
36,Iraq,"779,458","5,443","13,896 ",+36,"702,667","+3,892","62,895",457,"19,074",340,"7,540,606","184,526","40,864,712 "
37,Sweden,"744,272","5,743","13,227 ",,N/A,N/A,N/A,251,"73,368","1,304","6,627,544","653,320","10,144,412 "
38,Philippines,"640,963","5,269","12,887 ",+21,"561,512",+421,"66,564",785,"5,794",116,"9,493,580","85,819","110,623,413 "
39,Pakistan,"615,810","3,495","13,717 ",+61,"577,501","+1,634","24,592","2,062","2,750",61,"9,648,242","43,082","223,948,706 "
40,Switzerland,"578,861","1,750","10,183 ",+20,"534,217","+1,066","34,461",145,"66,536","1,170","5,561,017","639,199","8,699,977 "
41,Bangladesh,"564,939","2,187","8,624 ",+16,"517,223","+1,234","39,092",,"3,406",52,"4,349,194","26,221","165,863,770 "
42,Hungary,"539,080","6,502","17,628 ",+207,"360,895","+1,834","160,557","1,170","55,905","1,828","4,162,688","431,693","9,642,702 "
43,Serbia,"536,904","5,346","4,840 ",+30,"454,449","+2,777","77,615",222,"61,628",556,"3,218,400","369,420","8,712,035 "
44,Jordan,"514,107","9,192","5,627 ",+74,"416,971","+4,584","91,509",707,"50,032",548,"5,364,765","522,086","10,275,635 "
45,Austria,"504,581","3,357","8,982 ",+26,"465,984","+2,270","29,615",386,"55,796",993,"6,172,921","682,600","9,043,248 "
46,Morocco,"490,575",487,"8,748 ",+3,"477,879",+574,"3,948",268,"13,179",235,"5,837,749","156,830","37,223,432 "
47,Japan,"451,186","1,473","8,717 ",+39,"429,898","+1,115","12,571",335,"3,575",69,"9,137,297","72,405","126,197,834 "
48,UAE,"434,465","2,101","1,424 ",+10,"416,105","+2,628","16,936",,"43,552",143,"34,674,399","3,475,834","9,975,851 "
49,Lebanon,"430,734","3,757","5,609 ",+73,"337,975","+2,642","87,150",959,"63,311",824,"3,348,978","492,248","6,803,437 "
50,Saudi Arabia,"383,880",381,"6,591 ",+6,"373,601",+240,"3,688",564,"10,905",187,"14,503,622","412,024","35,200,932 "
51,Panama,"349,505",485,"6,025 ",+7,"338,181",+551,"5,299",111,"80,102","1,381","2,047,706","469,307","4,363,253 "
52,Slovakia,"344,470","2,040","8,814 ",+76,"255,300",,"80,356",703,"63,072","1,614","2,235,889","409,388","5,461,542 "
53,Malaysia,"328,466","1,213","1,223 ",+3,"312,461","+1,503","14,782",155,"10,056",37,"7,029,970","215,231","32,662,428 "
54,Ecuador,"307,429","1,831","16,333 ",+33,"263,164",,"27,932",504,"17,238",916,"1,086,111","60,900","17,834,349 "
55,Belarus,"306,524","1,254","2,130 ",+9,"297,502","+1,319","6,892",,"32,446",225,"5,159,848","546,184","9,447,089 "
56,Bulgaria,"295,777","4,008","11,817 ",+102,"232,041","+1,584","51,919",670,"42,800","1,710","1,915,561","277,186","6,910,740 "
57,Georgia,"276,436",369,"3,674 ",+9,"269,384",+378,"3,378",,"69,392",922,"3,087,029","774,923","3,983,659 "
58,Nepal,"275,625",107,"3,015 ",+1,"271,610",+52,"1,000",,"9,340",102,"2,227,547","75,483","29,510,500 "
59,Bolivia,"262,056","1,068","12,015 ",+18,"207,643","+1,057","42,398",71,"22,233","1,019","825,180","70,009","11,786,799 "
60,Croatia,"254,507","1,197","5,726 ",+17,"242,665",+554,"6,116",84,"62,272","1,401","1,454,984","356,001","4,087,027 "
