,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,USA,"30,482,127","55,908","554,871 ",+792,"22,683,617","+73,249","7,243,639","8,725","91,705","1,669","388,699,199","1,169,391","332,394,423 "
9,Brazil,"11,950,459","73,450","292,856 ","+2,331","10,419,393","+35,933","1,238,210","8,318","55,937","1,371","28,600,000","133,869","213,642,264 "
10,India,"11,598,710","43,815","159,790 ",+196,"11,128,119","+22,970","310,801","8,944","8,346",115,"232,431,517","167,251","1,389,716,105 "
11,Russia,"4,447,570","9,632","94,659 ",+392,"4,060,652","+11,279","292,259","2,300","30,467",648,"117,000,000","801,483","145,979,432 "
12,UK,"4,291,271","5,587","126,122 ",+96,"3,650,226","+28,733","514,923",830,"62,976","1,851","112,493,147","1,650,869","68,141,779 "
13,France,"4,252,022","35,345","92,167 ",+185,"279,646",,"3,880,209","4,287","65,038","1,410","58,498,845","894,789","65,377,235 "
14,Italy,"3,356,331","23,832","104,642 ",+401,"2,686,236","+14,598","565,453","3,387","55,570","1,733","46,613,817","771,779","60,397,886 "
15,Spain,"3,212,332",,"72,910 ",,"2,945,446",,"193,976","1,997","68,687","1,559","41,114,319","879,116","46,767,793 "
16,Turkey,"2,992,694","21,061","29,959 ",+95,"2,807,572","+18,815","155,163","1,538","35,213",353,"36,165,468","425,534","84,988,405 "
17,Germany,"2,658,851","13,665","75,196  ",+123,"2,409,700","+8,000","173,955","2,848","31,662",895,"47,578,793","566,574","83,976,254 "
18,Colombia,"2,331,187","6,761","61,907 ",+136,"2,225,725","+4,083","43,555","1,982","45,468","1,207","12,247,644","238,881","51,270,955 "
19,Argentina,"2,241,739","6,826","54,517 ",+41,"2,023,664","+6,935","163,558","3,534","49,277","1,198","8,309,165","182,648","45,492,722 "
20,Mexico,"2,187,910","5,722","197,219 ",+613,"1,729,269","+4,475","261,422","4,798","16,843","1,518","5,865,279","45,152","129,902,096 "
21,Poland,"2,036,700","26,405","49,159 ",+349,"1,640,050","+19,778","347,491","2,315","53,857","1,300","11,120,138","294,053","37,816,804 "
22,Iran,"1,793,805","7,540","61,724 ",+75,"1,536,606","+7,912","195,475","3,849","21,163",728,"12,099,761","142,751","84,761,444 "
23,South Africa,"1,536,801","1,378","52,082 ",+47,"1,462,110",+914,"22,609",546,"25,680",870,"9,611,262","160,607","59,843,266 "
24,Ukraine,"1,535,218","15,292","29,775 ",+260,"1,253,972","+5,190","251,471",177,"35,256",684,"7,624,537","175,098","43,544,473 "
25,Peru,"1,460,779","9,134","50,085 ",+188,"1,373,178","+8,622","37,516","2,241","43,867","1,504","8,659,841","260,055","33,300,005 "
26,Czechia,"1,459,406","9,624","24,530 ",+74,"1,233,769",+325,"201,107","1,992","136,097","2,288","10,510,686","980,177","10,723,250 "
