,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,China,"90,106",7,"4,636 ",,"85,309",+11,161,,63,3,"160,000,000","111,163","1,439,323,776 "
9,USA,"30,577,829","45,791","555,947 ",+638,"22,959,663","+94,515","7,062,219","8,600","91,988","1,672","391,113,519","1,176,599","332,410,303 "
10,Brazil,"12,051,619","53,386","295,685 ","+1,570","10,507,995","+58,062","1,247,939","8,318","56,407","1,384","28,600,000","133,861","213,654,630 "
11,India,"11,686,330","40,611","160,200 ",+197,"11,179,059","+29,735","347,071","8,944","8,408",115,"234,445,774","168,687","1,389,827,226 "
12,Russia,"4,466,153","9,284","95,391 ",+361,"4,077,185","+7,790","293,577","2,300","30,594",653,"117,700,000","806,275","145,979,943 "
13,UK,"4,301,925","5,342","126,172 ",+17,"3,694,155","+20,944","481,598",830,"63,129","1,852","115,945,692","1,701,463","68,144,696 "
14,France,"4,298,395","15,792","92,621 ",+343,"281,885",+930,"3,923,889","4,548","65,746","1,417","60,494,649","925,300","65,378,416 "
15,Italy,"3,400,851","13,820","105,328 ",+386,"2,732,482","+32,720","563,041","3,510","56,308","1,744","47,060,099","779,177","60,397,160 "
16,Spain,"3,228,803","4,420","73,543 ",+159,"2,987,474","+42,028","167,786","1,935","69,039","1,573","41,884,958","895,591","46,767,941 "
17,Turkey,"3,035,338","22,216","30,178 ",+117,"2,844,681","+19,494","160,479","1,644","35,712",355,"36,556,589","430,099","84,995,840 "
18,Germany,"2,678,262","8,262","75,418 ",+148,"2,423,400","+8,200","179,444","2,848","31,892",898,"47,578,793","566,560","83,978,444 "
19,Colombia,"2,342,278","5,128","62,148 ",+120,"2,235,343","+5,148","44,787","1,982","45,680","1,212","12,314,769","240,169","51,275,398 "
20,Argentina,"2,252,172","6,401","54,671 ",+126,"2,037,686","+7,533","159,815","3,530","49,503","1,202","8,383,836","184,276","45,496,119 "
21,Mexico,"2,195,772","2,133","198,036 ",+209,"1,736,159","+3,070","261,577","4,798","16,902","1,524","5,896,765","45,390","129,913,193 "
22,Poland,"2,073,128","14,577","49,365 ",+65,"1,676,008","+19,181","347,755","2,421","54,821","1,305","11,232,172","297,018","37,816,466 "
23,Iran,"1,808,422","7,357","61,877 ",+80,"1,549,649","+6,530","196,896","3,861","21,333",730,"12,221,274","144,169","84,770,256 "
24,Ukraine,"1,554,256","7,893","30,098 ",+157,"1,260,842","+2,993","263,316",177,"35,695",691,"7,659,777","175,916","43,542,330 "
25,South Africa,"1,538,451",599,"52,196 ",+85,"1,463,953",+864,"22,302",546,"25,705",872,"9,649,219","161,225","59,849,395 "
26,Peru,"1,472,790","6,464","50,339 ",+141,"1,388,554","+7,236","33,897","2,243","44,223","1,512","8,748,899","262,700","33,303,771 "
27,Czechia,"1,467,384","2,389","24,984 ",+174,"1,289,037",+154,"153,363","1,910","136,839","2,330","10,841,492","1,011,011","10,723,413 "
28,Indonesia,"1,465,928","5,744","39,711 ",+161,"1,297,967","+7,177","128,250",,"5,319",144,"12,120,470","43,976","275,616,951 "
29,Netherlands,"1,207,806","6,261","16,290 ",+15,N/A,N/A,N/A,638,"70,375",949,"9,230,498","537,832","17,162,409 "
30,Canada,"938,719","4,934","22,716 ",+40,"880,159","+4,059","35,844",586,"24,715",598,"26,704,383","703,083","37,981,846 "
31,Chile,"938,094","6,155","22,359 ",+80,"877,189","+5,955","38,546","2,269","48,770","1,162","10,644,892","553,411","19,235,067 "
32,Romania,"900,858","3,743","22,268 ",+60,"808,754","+2,554","69,836","1,339","47,057","1,163","7,001,817","365,742","19,144,167 "
33,Belgium,"837,006","4,255","22,707 ",+23,"55,540",+232,"758,759",557,"71,993","1,953","10,520,108","904,860","11,626,225 "
34,Israel,"828,764",992,"6,109 ",+17,"807,653","+1,986","15,002",504,"90,107",664,"13,179,979","1,432,982","9,197,590 "
35,Portugal,"817,778",248,"16,784 ",+16,"767,874",+555,"33,120",165,"80,371","1,650","8,832,622","868,065","10,175,072 "
36,Iraq,"798,547","4,655","14,036 ",+29,"719,161","+4,088","65,350",465,"19,538",343,"7,681,424","187,938","40,872,128 "
37,Sweden,"758,322","2,701","13,321 ",+4,N/A,N/A,N/A,272,"74,749","1,313","6,627,544","653,286","10,144,928 "
38,Philippines,"671,786","8,013","12,972 ",+4,"577,841",+94,"80,973",785,"6,072",117,"9,697,339","87,651","110,635,369 "
