,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,China,"90,049",5,"4,636 ",,"85,238",+13,175,,63,3,"160,000,000","111,163","1,439,323,776 "
9,USA,"30,178,753","46,391","548,119 ",+831,"22,271,223","+99,404","7,359,411","9,286","90,798","1,649","381,560,633","1,147,988","332,373,250 "
10,Brazil,"11,525,477","42,107","279,602 ","+1,275","10,111,954","+48,146","1,133,921","8,318","53,952","1,309","28,600,000","133,879","213,625,776 "
11,India,"11,409,595","24,437","158,892 ",+130,"11,025,631","+20,186","225,072","8,944","8,211",114,"227,407,413","163,653","1,389,567,944 "
12,Russia,"4,400,045","9,437","92,494 ",+404,"4,003,576","+8,267","303,975","2,300","30,142",634,"115,500,000","791,211","145,978,750 "
13,UK,"4,263,527","5,089","125,580 ",+64,"3,526,715","+29,790","611,232","1,110","62,572","1,843","106,046,223","1,556,347","68,137,890 "
14,France,"4,078,133","6,471","90,832 ",+357,"273,771",+811,"3,713,530","4,219","62,380","1,389","57,688,372","882,414","65,375,661 "
15,Italy,"3,238,374","15,247","102,499 ",+354,"2,605,538","+15,807","530,337","3,157","53,616","1,697","44,802,319","741,774","60,398,854 "
16,Spain,"3,195,062","4,484","72,424 ",+56,"2,857,714",,"264,924","2,112","68,318","1,549","41,114,319","879,120","46,767,595 "
17,Turkey,"2,894,893","15,503","29,552 ",+63,"2,716,969","+15,893","148,372","1,425","34,066",348,"35,277,116","415,130","84,978,492 "
18,Germany,"2,585,385","6,550","74,115 ",+156,"2,365,100","+7,100","146,170","2,848","30,788",883,"46,319,641","551,599","83,973,334 "
19,Colombia,"2,305,884","2,740","61,243 ",+100,"2,206,210","+3,630","38,431","1,982","44,980","1,195","12,020,903","234,485","51,265,031 "
20,Argentina,"2,201,886","6,164","53,836 ",+166,"1,993,215","+6,312","154,835","3,469","48,406","1,184","8,032,713","176,589","45,488,194 "
21,Mexico,"2,166,290","2,415","194,710 ",+220,"1,705,743","+4,527","265,837","4,798","16,678","1,499","5,771,369","44,434","129,887,301 "
22,Poland,"1,917,525","10,894","47,206 ",+28,"1,574,455","+14,228","295,864","2,084","50,705","1,248","10,668,987","282,120","37,817,255 "
23,Iran,"1,754,933","7,980","61,330 ",+100,"1,499,301","+6,813","194,302","3,839","20,707",724,"11,781,317","139,013","84,749,695 "
