,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
8,China,"90,062",13,"4,636 ",,"85,244",+6,182,,63,3,"160,000,000","111,163","1,439,323,776 "
9,USA,"30,232,095","53,342","549,368 ","+1,249","22,358,535","+87,312","7,324,192","9,285","90,958","1,653","382,571,924","1,151,031","332,373,250 "
10,Brazil,"11,609,601","84,124","282,400 ","+2,798","10,204,541","+92,587","1,122,660","8,318","54,346","1,322","28,600,000","133,879","213,625,776 "
11,India,"11,438,464","28,869","159,079 ",+187,"11,043,377","+17,746","236,008","8,944","8,232",114,"228,280,763","164,282","1,389,567,944 "
12,Russia,"4,409,438","9,393","92,937 ",+443,"4,014,220","+10,644","302,281","2,300","30,206",637,"115,700,000","792,581","145,978,750 "
13,UK,"4,268,821","5,294","125,690 ",+110,"3,548,731","+22,016","594,400","1,016","62,650","1,845","107,731,965","1,581,087","68,137,890 "
14,France,"4,108,108","29,975","91,170 ",+338,"275,360","+1,589","3,741,578","4,219","62,838","1,395","57,940,302","886,267","65,375,661 "
15,Italy,"3,258,751","20,377","103,001 ",+502,"2,619,654","+14,116","536,096","3,256","53,954","1,705","45,171,694","747,890","60,398,854 "
16,Spain,"3,200,024","4,962","72,565 ",+141,"2,857,714",,"269,745","2,037","68,424","1,552","41,114,319","879,120","46,767,595 "
17,Turkey,"2,911,642","16,749","29,623 ",+71,"2,734,862","+17,893","147,157","1,474","34,263",349,"35,435,502","416,994","84,978,492 "
18,Germany,"2,594,675","9,290","74,431 ",+316,"2,374,200","+9,100","146,044","2,848","30,899",886,"46,319,641","551,599","83,973,334 "
19,Colombia,"2,309,600","3,716","61,368 ",+125,"2,209,224","+3,014","39,008","1,982","45,052","1,197","12,062,703","235,301","51,265,031 "
20,Argentina,"2,210,121","8,235","54,036 ",+200,"1,998,594","+5,379","157,491","3,469","48,587","1,188","8,082,588","177,685","45,488,194 "
21,Mexico,"2,167,729","1,439","194,944 ",+234,"1,711,931","+6,188","260,854","4,798","16,689","1,501","5,776,241","44,471","129,887,301 "
22,Poland,"1,931,922","14,397","47,579 ",+373,"1,587,164","+12,709","297,179","2,139","51,086","1,258","10,775,274","284,930","37,817,255 "
23,Iran,"1,763,313","8,380","61,427 ",+97,"1,506,360","+7,059","195,526","3,848","20,806",725,"11,846,528","139,783","84,749,695 "
24,South Africa,"1,530,966",933,"51,560 ",+139,"1,458,001","+2,676","21,405",546,"25,586",862,"9,490,435","158,610","59,835,094 "
25,Ukraine,"1,477,190","9,642","28,697 ",+264,"1,232,209","+6,202","216,284",177,"33,921",659,"7,328,468","168,287","43,547,329 "
26,Indonesia,"1,430,458","5,414","38,753 ",+180,"1,257,663","+7,716","134,042",,"5,191",141,"11,740,483","42,606","275,561,667 "
27,Peru,"1,427,064","8,090","49,330 ",+153,"1,338,478","+8,690","39,256","2,236","42,861","1,482","8,395,433","252,153","33,294,984 "
28,Czechia,"1,413,057","10,601","23,788 ",+205,"1,214,698",+494,"174,571","1,993","131,778","2,218","9,931,725","926,205","10,723,034 "
29,Netherlands,"1,167,563","4,902","16,119 ",+32,N/A,N/A,N/A,586,"68,033",939,"6,970,400","406,161","17,161,686 "
30,Canada,"915,868","2,821","22,519 ",+24,"861,832","+2,910","31,517",553,"24,117",593,"26,068,659","686,459","37,975,524 "
31,Chile,"900,782","4,551","21,789 ",+17,"845,712","+5,044","33,281","2,099","46,838","1,133","10,235,613","532,220","19,231,932 "
